season,phase,game_id,stat,delta_home,delta_road,abs_sum,max_abs_side
2003-04,playoffs,0040300215,tov,-2,-6,8,6
2003-04,playoffs,0040300213,tov,-5,0,5,5
2003-04,playoffs,0040300101,tov,0,-4,4,4
2003-04,regular,0020300054,tov,4,0,4,4
2003-04,regular,0020300102,tov,0,4,4,4
2000-01,playoffs,0040000079,tov,-2,-3,5,3
2003-04,playoffs,0040300131,tov,-2,-3,5,3
2000-01,playoffs,0040000017,tov,-3,-1,4,3
2002-03,playoffs,0040200107,tov,3,1,4,3
2002-03,playoffs,0040200113,tov,3,1,4,3
2002-03,playoffs,0040200232,tov,3,1,4,3
2003-04,regular,0020300011,tov,3,1,4,3
2003-04,regular,0020300026,tov,1,3,4,3
2003-04,regular,0020300032,tov,3,1,4,3
2000-01,playoffs,0040000065,tov,-3,0,3,3
2000-01,playoffs,0040000066,tov,0,-3,3,3
2002-03,playoffs,0040200132,tov,0,3,3,3
2002-03,playoffs,0040200153,tov,3,0,3,3
2002-03,playoffs,0040200173,tov,0,3,3,3
2002-03,regular,0020200053,tov,3,0,3,3
2003-04,playoffs,0040300211,tov,-3,0,3,3
2003-04,playoffs,0040300402,tov,0,-3,3,3
2003-04,regular,0020300023,tov,0,3,3,3
2003-04,regular,0020300096,tov,3,0,3,3
2003-04,regular,0020300133,tov,0,3,3,3
2000-01,playoffs,0040000002,tov,-2,-2,4,2
2000-01,playoffs,0040000063,tov,-2,-2,4,2
2000-01,playoffs,0040000077,tov,-2,-2,4,2
2002-03,playoffs,0040200124,tov,2,2,4,2
2002-03,playoffs,0040200176,tov,2,2,4,2
2003-04,playoffs,0040300134,tov,-2,-2,4,2
2003-04,playoffs,0040300216,tov,-2,-2,4,2
2003-04,regular,0020300057,tov,2,2,4,2
2000-01,playoffs,0040000007,tov,-1,-2,3,2
2000-01,playoffs,0040000010,tov,-1,-2,3,2
2000-01,playoffs,0040000012,tov,-1,-2,3,2
2000-01,playoffs,0040000040,tov,-2,-1,3,2
2000-01,playoffs,0040000078,tov,-1,-2,3,2
2002-03,playoffs,0040200105,tov,1,2,3,2
2002-03,playoffs,0040200126,tov,1,2,3,2
2002-03,playoffs,0040200134,tov,1,2,3,2
2002-03,playoffs,0040200235,tov,1,2,3,2
2002-03,playoffs,0040200236,tov,2,1,3,2
2002-03,playoffs,0040200237,tov,2,1,3,2
2002-03,playoffs,0040200313,tov,1,2,3,2
2003-04,playoffs,0040300112,tov,-2,-1,3,2
2003-04,playoffs,0040300121,tov,-2,-1,3,2
2003-04,playoffs,0040300137,tov,-2,-1,3,2
2003-04,playoffs,0040300143,tov,-1,-2,3,2
2003-04,playoffs,0040300152,tov,-1,-2,3,2
2003-04,playoffs,0040300235,tov,-2,-1,3,2
2003-04,playoffs,0040300301,tov,-1,-2,3,2
2003-04,playoffs,0040300304,tov,-1,-2,3,2
2003-04,playoffs,0040300306,tov,-1,-2,3,2
2003-04,playoffs,0040300312,tov,-1,-2,3,2
2003-04,regular,0020300006,tov,1,2,3,2
2003-04,regular,0020300018,tov,1,2,3,2
2003-04,regular,0020300028,tov,2,1,3,2
2003-04,regular,0020300034,tov,2,1,3,2
2003-04,regular,0020300039,tov,1,2,3,2
2003-04,regular,0020300040,tov,1,2,3,2
2003-04,regular,0020300048,tov,2,1,3,2
2003-04,regular,0020300059,tov,2,1,3,2
2003-04,regular,0020300104,tov,1,2,3,2
2003-04,regular,0020300137,tov,2,1,3,2
2000-01,playoffs,0040000023,tov,-2,0,2,2
2000-01,playoffs,0040000057,tov,0,-2,2,2
2000-01,playoffs,0040000058,tov,0,-2,2,2
2000-01,playoffs,0040000072,tov,-2,0,2,2
2002-03,playoffs,0040200102,tov,2,0,2,2
2002-03,playoffs,0040200103,tov,0,2,2,2
2002-03,playoffs,0040200116,tov,0,2,2,2
2002-03,playoffs,0040200123,tov,2,0,2,2
2002-03,playoffs,0040200133,tov,2,0,2,2
2002-03,playoffs,0040200135,tov,2,0,2,2
2002-03,playoffs,0040200202,tov,0,2,2,2
2002-03,playoffs,0040200403,tov,2,0,2,2
2002-03,playoffs,0040200405,tov,0,2,2,2
2003-04,playoffs,0040300122,tov,0,-2,2,2
2003-04,playoffs,0040300132,tov,0,-2,2,2
2003-04,playoffs,0040300133,tov,-2,0,2,2
2003-04,playoffs,0040300151,tov,0,-2,2,2
2003-04,playoffs,0040300173,tov,-2,0,2,2
2003-04,playoffs,0040300175,tov,-2,0,2,2
2003-04,playoffs,0040300233,tov,0,-2,2,2
2003-04,playoffs,0040300234,tov,-2,0,2,2
2003-04,regular,0020300001,tov,2,0,2,2
2003-04,regular,0020300008,tov,0,2,2,2
2003-04,regular,0020300021,tov,0,2,2,2
2003-04,regular,0020300031,tov,0,2,2,2
2003-04,regular,0020300053,tov,2,0,2,2
2003-04,regular,0020300064,tov,2,0,2,2
2003-04,regular,0020300118,tov,0,2,2,2
