season,mismatch_games_total,mismatch_games_regular,mismatch_games_playoffs,mismatch_games,avg_total_abs_delta,median_total_abs_delta,p90_total_abs_delta,max_total_abs_delta,avg_max_abs_delta,max_abs_delta,games_max_abs_ge_10,games_max_abs_6_9,games_max_abs_3_5,games_max_abs_1_2
2000-01,17,1,16,17,3.0,3.0,4.0,5,2.18,3,0,0,4,13
2001-02,2,2,0,2,4.5,4.5,4.0,5,3.0,4,0,0,1,1
2002-03,27,3,24,27,2.81,3.0,4.0,4,2.26,3,0,0,7,20
2003-04,56,30,26,56,3.11,3.0,4.0,11,2.38,6,0,1,14,41
2005-06,1,1,0,1,2.0,2.0,2.0,2,1.0,1,0,0,0,1
2006-07,1,1,0,1,1.0,1.0,1.0,1,1.0,1,0,0,0,1
2008-09,23,23,0,23,1.3,1.0,2.0,3,1.26,3,0,0,1,22
2009-10,9,9,0,9,1.22,1.0,1.0,3,1.11,2,0,0,0,9
2010-11,10,10,0,10,1.2,1.0,2.0,2,1.1,2,0,0,0,10
2011-12,13,12,1,13,1.08,1.0,1.0,2,1.0,1,0,0,0,13
2012-13,9,8,1,9,1.0,1.0,1.0,1,1.0,1,0,0,0,9
2013-14,16,16,0,16,1.06,1.0,1.0,2,1.0,1,0,0,0,16
2014-15,9,7,2,9,1.11,1.0,1.0,2,1.11,2,0,0,0,9
2015-16,11,9,2,11,1.36,1.0,2.0,3,1.36,3,0,0,1,10
2016-17,9,9,0,9,1.11,1.0,1.0,2,1.11,2,0,0,0,9
2017-18,1,1,0,1,3.0,3.0,3.0,3,3.0,3,0,0,1,0
2025-26,1,1,0,1,4.0,4.0,4.0,4,1.0,1,0,0,0,1
