season,phase,mismatch_games,avg_total_abs_delta,median_total_abs_delta,p90_total_abs_delta,max_total_abs_delta,avg_max_abs_delta,max_abs_delta,games_max_abs_ge_10,games_max_abs_6_9,games_max_abs_3_5,games_max_abs_1_2
2000-01,regular,1,1.0,1.0,1,1,1.0,1,0,0,0,1
2000-01,playoffs,16,3.12,3.0,4,5,2.25,3,0,0,4,12
2001-02,regular,2,4.5,4.5,4,5,3.0,4,0,0,1,1
2002-03,regular,3,2.67,3.0,3,3,2.33,3,0,0,1,2
2002-03,playoffs,24,2.83,3.0,4,4,2.25,3,0,0,6,18
2003-04,regular,30,3.07,3.0,4,11,2.3,4,0,0,9,21
2003-04,playoffs,26,3.15,3.0,4,8,2.46,6,0,1,5,20
2005-06,regular,1,2.0,2.0,2,2,1.0,1,0,0,0,1
2006-07,regular,1,1.0,1.0,1,1,1.0,1,0,0,0,1
2008-09,regular,23,1.3,1.0,2,3,1.26,3,0,0,1,22
2009-10,regular,9,1.22,1.0,1,3,1.11,2,0,0,0,9
2010-11,regular,10,1.2,1.0,2,2,1.1,2,0,0,0,10
2011-12,regular,12,1.08,1.0,1,2,1.0,1,0,0,0,12
2011-12,playoffs,1,1.0,1.0,1,1,1.0,1,0,0,0,1
2012-13,regular,8,1.0,1.0,1,1,1.0,1,0,0,0,8
2012-13,playoffs,1,1.0,1.0,1,1,1.0,1,0,0,0,1
2013-14,regular,16,1.06,1.0,1,2,1.0,1,0,0,0,16
2014-15,regular,7,1.0,1.0,1,1,1.0,1,0,0,0,7
2014-15,playoffs,2,1.5,1.5,1,2,1.5,2,0,0,0,2
2015-16,regular,9,1.22,1.0,2,2,1.22,2,0,0,0,9
2015-16,playoffs,2,2.0,2.0,2,3,2.0,3,0,0,1,1
2016-17,regular,9,1.11,1.0,1,2,1.11,2,0,0,0,9
2017-18,regular,1,3.0,3.0,3,3,3.0,3,0,0,1,0
2025-26,regular,1,4.0,4.0,4,4,1.0,1,0,0,0,1
