season,phase,game_id,stat_count,total_abs_delta,max_abs_delta
2003-04,playoffs,0040300215,1,8,6
2003-04,playoffs,0040300213,1,5,5
2001-02,regular,0020100064,1,4,4
2003-04,playoffs,0040300101,1,4,4
2003-04,regular,0020300054,1,4,4
2003-04,regular,0020300102,1,4,4
2003-04,regular,0020300778,4,11,3
2000-01,playoffs,0040000079,1,5,3
2003-04,playoffs,0040300131,1,5,3
2000-01,playoffs,0040000017,1,4,3
2002-03,playoffs,0040200107,1,4,3
2002-03,playoffs,0040200113,1,4,3
2002-03,playoffs,0040200232,1,4,3
2003-04,regular,0020300011,1,4,3
2003-04,regular,0020300026,1,4,3
2003-04,regular,0020300032,1,4,3
2000-01,playoffs,0040000065,1,3,3
2000-01,playoffs,0040000066,1,3,3
2002-03,playoffs,0040200132,1,3,3
2002-03,playoffs,0040200153,1,3,3
2002-03,playoffs,0040200173,1,3,3
2002-03,regular,0020200053,1,3,3
2003-04,playoffs,0040300211,1,3,3
2003-04,playoffs,0040300402,1,3,3
2003-04,regular,0020300023,1,3,3
2003-04,regular,0020300096,1,3,3
2003-04,regular,0020300133,1,3,3
2008-09,regular,0020800147,1,3,3
2015-16,playoffs,0041500203,1,3,3
2017-18,regular,0021700008,1,3,3
2001-02,regular,0020101169,2,5,2
2000-01,playoffs,0040000002,1,4,2
2000-01,playoffs,0040000063,1,4,2
2000-01,playoffs,0040000077,1,4,2
2002-03,playoffs,0040200124,1,4,2
2002-03,playoffs,0040200176,1,4,2
2003-04,playoffs,0040300134,1,4,2
2003-04,playoffs,0040300216,1,4,2
2003-04,regular,0020300057,1,4,2
2000-01,playoffs,0040000007,1,3,2
2000-01,playoffs,0040000010,1,3,2
2000-01,playoffs,0040000012,1,3,2
2000-01,playoffs,0040000040,1,3,2
2000-01,playoffs,0040000078,1,3,2
2002-03,playoffs,0040200105,1,3,2
2002-03,playoffs,0040200126,1,3,2
2002-03,playoffs,0040200134,1,3,2
2002-03,playoffs,0040200235,1,3,2
2002-03,playoffs,0040200236,1,3,2
2002-03,playoffs,0040200237,1,3,2
2002-03,playoffs,0040200313,1,3,2
2002-03,regular,0020200286,2,3,2
2003-04,playoffs,0040300112,1,3,2
2003-04,playoffs,0040300121,1,3,2
2003-04,playoffs,0040300137,1,3,2
2003-04,playoffs,0040300143,1,3,2
2003-04,playoffs,0040300152,1,3,2
2003-04,playoffs,0040300235,1,3,2
2003-04,playoffs,0040300301,1,3,2
2003-04,playoffs,0040300304,1,3,2
2003-04,playoffs,0040300306,1,3,2
2003-04,playoffs,0040300312,1,3,2
2003-04,regular,0020300006,1,3,2
2003-04,regular,0020300018,1,3,2
2003-04,regular,0020300028,1,3,2
2003-04,regular,0020300034,1,3,2
2003-04,regular,0020300039,1,3,2
2003-04,regular,0020300040,1,3,2
2003-04,regular,0020300048,1,3,2
2003-04,regular,0020300059,1,3,2
2003-04,regular,0020300104,1,3,2
2003-04,regular,0020300137,1,3,2
2009-10,regular,0020900216,2,3,2
2000-01,playoffs,0040000023,1,2,2
2000-01,playoffs,0040000057,1,2,2
2000-01,playoffs,0040000058,1,2,2
2000-01,playoffs,0040000072,1,2,2
2002-03,playoffs,0040200102,1,2,2
