season,phase,game_id,home_team,road_team,stat,delta_home,delta_road,abs_sum,max_abs_side,classification,tov_max_t_home,tov_max_t_road,blk_sum_player_home,blk_sum_player_road
2003-04,playoffs,0040300215,DET,NJN,tov,-2,-6,8,6,tov_source_gap_pbp_self_consistent,17.0,28.0,,
2003-04,playoffs,0040300213,NJN,DET,tov,-5,0,5,5,tov_source_gap_pbp_self_consistent,20.0,18.0,,
2003-04,playoffs,0040300101,IND,BOS,tov,0,-4,4,4,tov_source_gap_pbp_self_consistent,18.0,22.0,,
2003-04,regular,0020300054,ORL,CHI,tov,4,0,4,4,tov_source_gap_pbp_self_consistent,15.0,13.0,,
2003-04,regular,0020300102,LAC,ATL,tov,0,4,4,4,tov_source_gap_pbp_self_consistent,13.0,24.0,,
2001-02,regular,0020100064,TOR,GSW,blk,4,0,4,4,blk_source_gap_pbp_self_consistent,,,24.0,5.0
2003-04,regular,0020300778,NOH,WAS,plus_minus,-3,3,6,3,unclassified,,,,
2000-01,playoffs,0040000079,MIL,PHI,tov,-2,-3,5,3,tov_source_gap_pbp_self_consistent,15.0,9.0,,
2003-04,playoffs,0040300131,MIA,NOH,tov,-2,-3,5,3,tov_source_gap_pbp_self_consistent,18.0,23.0,,
2000-01,playoffs,0040000017,CHH,MIA,tov,-3,-1,4,3,tov_source_gap_pbp_self_consistent,13.0,16.0,,
2002-03,playoffs,0040200113,MIL,NJN,tov,3,1,4,3,tov_source_gap_pbp_self_consistent,13.0,17.0,,
2002-03,playoffs,0040200107,DET,ORL,tov,3,1,4,3,tov_source_gap_pbp_self_consistent,14.0,14.0,,
2002-03,playoffs,0040200232,DAL,SAC,tov,3,1,4,3,tov_source_gap_pbp_self_consistent,14.0,19.0,,
2003-04,regular,0020300011,DEN,SAS,tov,3,1,4,3,tov_source_gap_pbp_self_consistent,20.0,19.0,,
2003-04,regular,0020300026,SAC,PHI,tov,1,3,4,3,tov_source_gap_pbp_self_consistent,16.0,19.0,,
2003-04,regular,0020300032,MIL,CHI,tov,3,1,4,3,tov_source_gap_pbp_self_consistent,13.0,19.0,,
2000-01,playoffs,0040000065,TOR,PHI,tov,-3,0,3,3,tov_source_gap_pbp_self_consistent,15.0,13.0,,
2000-01,playoffs,0040000066,PHI,TOR,tov,0,-3,3,3,tov_source_gap_pbp_self_consistent,11.0,16.0,,
2002-03,playoffs,0040200132,PHI,NOH,tov,0,3,3,3,tov_source_gap_pbp_self_consistent,13.0,16.0,,
2002-03,playoffs,0040200173,LAL,MIN,tov,0,3,3,3,tov_source_gap_pbp_self_consistent,18.0,20.0,,
2002-03,playoffs,0040200153,UTA,SAC,tov,3,0,3,3,tov_source_gap_pbp_self_consistent,10.0,14.0,,
2003-04,playoffs,0040300211,DET,NJN,tov,-3,0,3,3,tov_source_gap_pbp_self_consistent,19.0,12.0,,
2003-04,playoffs,0040300402,LAL,DET,tov,0,-3,3,3,tov_source_gap_pbp_self_consistent,14.0,17.0,,
2015-16,playoffs,0041500203,ATL,CLE,pf,-3,0,3,3,unclassified,,,,
2017-18,regular,0021700008,MEM,NOP,pf,0,-3,3,3,unclassified,,,,
2002-03,regular,0020200053,CLE,LAL,tov,3,0,3,3,tov_source_gap_pbp_self_consistent,16.0,17.0,,
2003-04,regular,0020300023,MEM,BOS,tov,0,3,3,3,tov_source_gap_pbp_self_consistent,15.0,20.0,,
2003-04,regular,0020300096,IND,BOS,tov,3,0,3,3,tov_source_gap_pbp_self_consistent,20.0,15.0,,
2003-04,regular,0020300133,MIL,UTA,tov,0,3,3,3,tov_source_gap_pbp_self_consistent,15.0,23.0,,
2003-04,regular,0020300778,NOH,WAS,pts,0,3,3,3,unclassified,,,,
2008-09,regular,0020800147,UTA,PHX,pf,0,-3,3,3,unclassified,,,,
2000-01,playoffs,0040000002,SAS,MIN,tov,-2,-2,4,2,tov_source_gap_pbp_self_consistent,18.0,7.0,,
2000-01,playoffs,0040000063,PHI,TOR,tov,-2,-2,4,2,tov_source_gap_pbp_self_consistent,11.0,11.0,,
2000-01,playoffs,0040000077,PHI,MIL,tov,-2,-2,4,2,tov_source_gap_pbp_self_consistent,13.0,8.0,,
2002-03,playoffs,0040200124,BOS,IND,tov,2,2,4,2,tov_source_gap_pbp_self_consistent,18.0,17.0,,
2002-03,playoffs,0040200176,LAL,MIN,tov,2,2,4,2,tov_source_gap_pbp_self_consistent,14.0,16.0,,
2003-04,playoffs,0040300134,NOH,MIA,tov,-2,-2,4,2,tov_source_gap_pbp_self_consistent,14.0,14.0,,
2003-04,playoffs,0040300216,NJN,DET,tov,-2,-2,4,2,tov_source_gap_pbp_self_consistent,16.0,20.0,,
2003-04,regular,0020300057,CLE,DEN,tov,2,2,4,2,tov_source_gap_pbp_self_consistent,16.0,16.0,,
2000-01,playoffs,0040000007,SAC,PHX,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,19.0,18.0,,
2000-01,playoffs,0040000010,SAS,MIN,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,10.0,20.0,,
2000-01,playoffs,0040000012,UTA,DAL,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,12.0,15.0,,
2000-01,playoffs,0040000040,NYK,TOR,tov,-2,-1,3,2,tov_source_gap_pbp_self_consistent,19.0,12.0,,
2000-01,playoffs,0040000078,MIL,PHI,tov,-1,-2,3,2,tov_source_gap_pbp_self_consistent,14.0,16.0,,
2002-03,playoffs,0040200134,NOH,PHI,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,20.0,16.0,,
2002-03,playoffs,0040200105,DET,ORL,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,10.0,20.0,,
2002-03,playoffs,0040200126,BOS,IND,tov,1,2,3,2,tov_source_gap_pbp_self_consistent,7.0,12.0,,
