season,game_id,road,home,expected_fga_home,expected_fga_road,expected_tov_home,expected_tov_road,local_fga_home,local_fga_road,local_tov_home,local_tov_road,local_rows,api_fga_home,api_fga_road,api_tov_home,api_tov_road,api_rows,api_status,local_exact_match,api_exact_match,api_vs_local_fga_gain,api_vs_local_tov_gain
2019-20,0051900111,MEM,POR,84,92,13,18,78,85,8,6,480,84,92,13,18,510,ok,0,1,13,17
2020-21,0052000101,WAS,BOS,96,92,11,16,87,87,5,7,512,96,92,10,15,539,ok,0,0,14,13
2020-21,0052000111,CHA,IND,105,94,16,14,99,89,8,7,477,105,94,16,14,503,ok,0,1,11,15
2020-21,0052000121,GSW,LAL,91,83,13,20,83,76,3,5,461,91,83,11,20,499,ok,0,0,15,23
2020-21,0052000131,SAS,MEM,90,97,9,8,83,86,4,4,492,90,97,9,8,519,ok,0,1,18,9
2020-21,0052000201,IND,WAS,93,100,15,15,89,91,6,7,474,93,100,15,14,503,ok,0,0,13,16
2020-21,0052000211,MEM,GSW,94,98,21,15,88,91,7,6,501,94,98,21,13,535,ok,0,0,13,21
2021-22,0052100101,CLE,BKN,84,92,14,15,82,83,5,6,453,84,92,14,15,482,ok,0,1,11,18
2021-22,0052100121,LAC,MIN,83,78,13,17,78,76,6,7,523,83,78,11,17,545,ok,0,0,7,15
2021-22,0052100111,CHA,ATL,94,90,12,14,90,84,6,9,499,94,90,10,14,518,ok,0,0,10,9
2021-22,0052100131,SAS,NOP,81,91,14,6,78,84,9,2,448,81,91,13,6,466,ok,0,0,10,8
2021-22,0052100201,ATL,CLE,81,80,14,13,78,76,6,5,437,81,80,11,13,457,ok,0,0,7,13
2021-22,0052100211,NOP,LAC,85,88,8,9,82,85,5,1,490,85,88,7,8,505,ok,0,0,6,9
2022-23,0052200101,ATL,MIA,91,96,8,12,83,92,3,5,485,91,96,8,12,509,ok,0,1,12,12
2022-23,0052200121,MIN,LAL,92,83,21,24,81,76,7,12,493,92,83,20,20,532,ok,0,0,18,21
2022-23,0052200111,CHI,TOR,87,86,16,11,77,81,5,5,491,87,86,14,10,520,ok,0,0,15,14
2022-23,0052200131,OKC,NOP,87,92,11,7,82,88,4,2,479,87,92,11,7,500,ok,0,1,9,12
2022-23,0052200201,CHI,MIA,78,82,13,11,75,80,8,4,450,78,82,13,11,467,ok,0,1,5,12
2022-23,0052200211,OKC,MIN,83,89,17,18,77,81,7,6,461,83,89,16,17,495,ok,0,0,14,20
2023-24,0052300121,LAL,NOP,93,84,13,8,86,82,4,4,465,93,84,12,8,486,ok,0,0,9,12
2023-24,0052300131,GSW,SAC,98,80,8,16,95,75,3,6,461,98,80,8,16,484,ok,0,1,8,15
2023-24,0052300101,MIA,PHI,86,90,16,13,82,87,3,9,470,86,90,15,13,493,ok,0,0,7,16
2023-24,0052300111,ATL,CHI,95,91,10,11,93,83,3,3,448,95,91,7,9,468,ok,0,0,10,10
2023-24,0052300201,CHI,MIA,82,92,15,12,76,86,3,6,434,82,92,15,12,464,ok,0,1,12,18
2023-24,0052300211,SAC,NOP,85,88,16,15,81,80,6,6,456,85,88,15,15,486,ok,0,0,12,18
2024-25,0052400101,ATL,ORL,91,84,10,8,86,75,3,1,489,91,84,8,7,514,ok,0,0,14,11
2024-25,0052400121,MEM,GSW,85,86,10,20,84,83,6,6,513,85,86,10,19,534,ok,0,0,4,17
2024-25,0052400111,MIA,CHI,83,83,18,15,76,79,7,6,449,83,83,17,15,479,ok,0,0,11,19
2024-25,0052400131,DAL,SAC,89,83,18,10,81,79,9,3,446,89,83,18,9,473,ok,0,0,12,15
2024-25,0052400201,MIA,ATL,102,96,10,15,94,93,5,2,478,102,96,9,14,505,ok,0,0,11,16
2024-25,0052400211,DAL,MEM,100,87,12,16,92,83,1,8,480,100,87,10,16,509,ok,0,0,12,17
