season,game_id,home,road,fga_home_actual,fga_road_actual,fga_home_exp,fga_road_exp,tov_home_actual,tov_road_actual,tov_home_exp,tov_road_exp,fga_delta_home,fga_delta_road,tov_delta_home,tov_delta_road,blank_rows,blank_shot_home,blank_shot_road,blank_shot_unknown,blank_tov_home,blank_tov_road,blank_tov_unknown,rec_fga_home,rec_fga_road,rec_tov_home,rec_tov_road,rec_fga_match,rec_tov_match
2022-23,0052200121,LAL,MIN,81,76,92,83,8,16,21,24,-11,-7,-13,-8,39,0,0,0,0,0,0,81,76,8,16,0,0
2020-21,0052000121,LAL,GSW,83,76,91,83,5,5,13,20,-8,-7,-8,-15,38,0,0,0,0,0,0,83,76,5,5,0,0
2020-21,0052000211,GSW,MEM,88,91,94,98,7,8,21,15,-6,-7,-14,-7,34,0,0,0,0,0,0,88,91,7,8,0,0
2022-23,0052200211,MIN,OKC,77,81,83,89,8,7,17,18,-6,-8,-9,-11,34,0,0,0,0,0,0,77,81,8,7,0,0
2019-20,0051900111,POR,MEM,78,85,84,92,8,6,13,18,-6,-7,-5,-12,30,0,0,0,0,0,0,78,85,8,6,0,0
2023-24,0052300201,MIA,CHI,76,86,82,92,3,6,15,12,-6,-6,-12,-6,30,0,0,0,0,0,0,76,86,3,6,0,0
2023-24,0052300211,NOP,SAC,81,80,85,88,7,6,16,15,-4,-8,-9,-9,30,0,0,0,0,0,0,81,80,7,6,0,0
2024-25,0052400111,CHI,MIA,76,79,83,83,8,6,18,15,-7,-4,-10,-9,30,0,0,0,0,0,0,76,79,8,6,0,0
2020-21,0052000201,WAS,IND,89,91,93,100,6,8,15,15,-4,-9,-9,-7,29,0,0,0,0,0,0,89,91,6,8,0,0
2021-22,0052100101,BKN,CLE,82,83,84,92,5,6,14,15,-2,-9,-9,-9,29,0,0,0,0,0,0,82,83,5,6,0,0
2022-23,0052200111,TOR,CHI,77,81,87,86,7,6,16,11,-10,-5,-9,-5,29,0,0,0,0,0,0,77,81,7,6,0,0
2024-25,0052400211,MEM,DAL,92,83,100,87,3,8,12,16,-8,-4,-9,-8,29,0,0,0,0,0,0,92,83,3,8,0,0
2020-21,0052000101,BOS,WAS,87,87,96,92,6,8,11,16,-9,-5,-5,-8,27,0,0,0,0,0,0,87,87,6,8,0,0
2020-21,0052000131,MEM,SAS,83,86,90,97,4,4,9,8,-7,-11,-5,-4,27,0,0,0,0,0,0,83,86,4,4,0,0
2024-25,0052400131,SAC,DAL,81,79,89,83,9,4,18,10,-8,-4,-9,-6,27,0,0,0,0,0,0,81,79,9,4,0,0
2024-25,0052400201,ATL,MIA,94,93,102,96,6,3,10,15,-8,-3,-4,-12,27,0,0,0,0,0,0,94,93,6,3,0,0
2020-21,0052000111,IND,CHA,99,89,105,94,8,7,16,14,-6,-5,-8,-7,26,0,0,0,0,0,0,99,89,8,7,0,0
2024-25,0052400101,ORL,ATL,86,75,91,84,5,2,10,8,-5,-9,-5,-6,25,0,0,0,0,0,0,86,75,5,2,0,0
2022-23,0052200101,MIA,ATL,83,92,91,96,3,5,8,12,-8,-4,-5,-7,24,0,0,0,0,0,0,83,92,3,5,0,0
2023-24,0052300131,SAC,GSW,95,75,98,80,3,6,8,16,-3,-5,-5,-10,23,0,0,0,0,0,0,95,75,3,6,0,0
2023-24,0052300101,PHI,MIA,82,87,86,90,4,9,16,13,-4,-3,-12,-4,23,0,0,0,0,0,0,82,87,4,9,0,0
2021-22,0052100121,MIN,LAC,78,76,83,78,8,7,13,17,-5,-2,-5,-10,22,0,0,0,0,0,0,78,76,8,7,0,0
2022-23,0052200131,NOP,OKC,82,88,87,92,4,2,11,7,-5,-4,-7,-5,21,0,0,0,0,0,0,82,88,4,2,0,0
2023-24,0052300121,NOP,LAL,86,82,93,84,5,4,13,8,-7,-2,-8,-4,21,0,0,0,0,0,0,86,82,5,4,0,0
2024-25,0052400121,GSW,MEM,84,83,85,86,6,7,10,20,-1,-3,-4,-13,21,0,0,0,0,0,0,84,83,6,7,0,0
2021-22,0052100201,CLE,ATL,78,76,81,80,9,5,14,13,-3,-4,-5,-8,20,0,0,0,0,0,0,78,76,9,5,0,0
2023-24,0052300111,CHI,ATL,93,83,95,91,6,5,10,11,-2,-8,-4,-6,20,0,0,0,0,0,0,93,83,6,5,0,0
2021-22,0052100111,ATL,CHA,90,84,94,90,8,9,12,14,-4,-6,-4,-5,19,0,0,0,0,0,0,90,84,8,9,0,0
2021-22,0052100131,NOP,SAS,78,84,81,91,10,2,14,6,-3,-7,-4,-4,18,0,0,0,0,0,0,78,84,10,2,0,0
2022-23,0052200201,MIA,CHI,75,80,78,82,8,4,13,11,-3,-2,-5,-7,17,0,0,0,0,0,0,75,80,8,4,0,0
2021-22,0052100211,LAC,NOP,82,85,85,88,6,2,8,9,-3,-3,-2,-7,15,0,0,0,0,0,0,82,85,6,2,0,0
