game_id,road,home,expected_fga_home,expected_fga_road,expected_tov_home,expected_tov_road,local_fga_home,local_fga_road,local_tov_home,local_tov_road,local_rows,local_fga_abs_sum,local_tov_abs_sum,api_status,api_fga_home,api_fga_road,api_tov_home,api_tov_road,api_rows,api_fga_abs_sum,api_tov_abs_sum
0022500111,TOR,DAL,85,100,20,16,84,94,10,2,544,7,24,ok,85,100,20,14,574,0,2
0022500114,ORL,PHI,97,82,7,13,90,73,2,8,503,16,10,ok,97,82,6,13,528,0,1
0022500120,PHX,UTA,108,106,19,14,100,102,5,6,603,12,22,ok,108,106,18,14,636,0,1
0022500131,HOU,TOR,85,87,10,17,77,85,1,9,470,10,17,ok,85,87,10,15,495,0,2
0022500132,SAC,CHI,91,82,16,10,89,80,5,4,449,4,17,ok,91,82,15,10,469,0,1
0022500252,MEM,SAS,87,104,9,14,83,101,3,4,468,7,16,ok,87,104,9,14,491,0,0
0022500256,CHA,IND,85,107,16,13,83,99,8,7,498,10,14,ok,85,107,15,12,520,0,2
0022500266,PHI,MIL,92,97,14,14,86,95,5,7,479,8,16,ok,92,97,14,14,503,0,0
0022500053,MIN,PHX,81,86,28,22,77,84,10,6,516,6,34,ok,81,86,27,19,552,0,4
0022500273,MEM,DAL,91,92,10,13,86,83,5,8,493,14,10,ok,91,92,10,12,516,0,1
0022500298,NOP,GSW,93,86,10,13,91,83,2,8,519,5,13,ok,93,86,9,13,536,0,1
0022500342,POR,DET,82,85,14,20,74,78,7,9,547,15,18,ok,82,85,13,17,576,0,4
0022500352,GSW,CLE,107,86,12,14,99,82,4,6,506,12,16,ok,107,86,12,13,533,0,1
0022500354,SAC,MIA,85,93,13,11,80,89,2,5,453,9,17,ok,85,93,13,10,478,0,1
0022501228,LAL,PHX,82,88,20,22,75,83,6,10,537,12,26,ok,82,88,19,21,574,0,2
0022500010,SAS,OKC,95,84,7,13,91,78,4,5,481,10,11,ok,95,84,7,12,501,0,1
0022500438,CLE,HOU,88,96,17,15,82,87,5,2,461,15,25,ok,88,96,15,14,498,0,3
0022500454,NYK,NOP,96,95,12,9,92,87,3,2,484,12,16,ok,96,95,11,8,510,0,2
0022500458,PHI,MEM,92,111,20,9,87,101,6,6,519,15,17,ok,92,111,20,8,550,0,1
0022500461,SAC,LAC,90,83,4,19,82,74,2,5,441,17,16,ok,90,83,3,18,472,0,2
0022500513,MIA,MIN,98,98,12,18,94,90,7,10,503,12,13,fail:ReadTimeout,,,,,,,
0022500526,MIL,GSW,89,85,10,12,86,83,6,6,429,5,10,fail:ReadTimeout,,,,,,,
0022500528,IND,CHA,86,82,17,20,80,79,7,11,490,9,19,ok,86,82,16,19,516,0,2
0022500566,MIN,MIL,85,92,20,16,83,88,10,3,431,6,23,ok,85,92,19,15,458,0,2
0022500599,CHA,GSW,93,94,12,17,90,87,6,9,476,10,14,ok,93,94,11,17,499,0,1
0022500014,MIL,ATL,96,79,10,13,90,73,2,4,472,12,17,ok,96,79,10,13,501,0,0
0022500619,MIA,SAC,87,98,16,10,85,94,9,4,474,6,13,ok,87,98,15,10,492,0,1
0022500627,CHA,ORL,79,79,12,15,75,75,5,7,435,8,15,ok,79,79,12,14,457,0,1
0022500656,BKN,LAC,78,85,19,17,74,80,5,4,449,9,27,ok,78,85,19,16,484,0,1
0022500672,CHI,IND,85,88,6,11,82,85,3,4,454,6,10,ok,85,88,6,11,470,0,0
0022500686,OKC,MIN,89,86,20,16,84,79,8,3,469,12,25,ok,89,86,19,15,504,0,2
0022500698,ATL,IND,89,97,23,10,87,93,12,4,495,6,17,ok,89,97,23,10,518,0,0
0022500704,BKN,DET,85,73,8,25,83,67,3,6,456,8,24,ok,85,73,6,23,484,0,4
0022500718,NYK,WAS,86,90,13,9,81,87,7,3,481,8,12,ok,86,90,13,9,501,0,0
0022500741,MIA,BOS,84,84,16,12,81,77,5,5,465,10,18,ok,84,84,14,12,491,0,2
0022500783,POR,MIN,87,94,15,26,83,88,10,11,500,10,20,ok,87,94,14,25,528,0,2
0022500785,OKC,PHX,92,89,12,8,89,84,4,4,418,8,12,ok,92,89,10,8,436,0,2
0022500788,SAS,GSW,91,93,12,10,86,92,5,3,488,6,14,ok,91,93,11,9,506,0,2
0022500823,BOS,LAL,87,83,8,14,82,78,2,7,459,10,13,ok,87,83,8,14,482,0,0
