actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId,gameId
0,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (8:14 PM EST),period,start,0,0,1,0021201217
1,PT12M00.00S,1,1610612751,BKN,201572,Lopez,B. Lopez,0,0,0,,0,0,0,0,h,Jump Ball Lopez vs. Drummond: Tip to Singler,Jump Ball,,0,0,2,0021201217
2,PT11M39.00S,1,1610612765,DET,202688,Knight,B. Knight,4,85,9,Made,1,0,2,2,v,Knight 9' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,0,2,3,0021201217
3,PT11M24.00S,1,1610612751,BKN,2207,Johnson,J. Johnson,-2,217,22,Missed,1,0,0,0,h,MISS Johnson 22' Jump Shot,Missed Shot,Jump Shot,0,2,4,0021201217
4,PT11M23.00S,1,1610612765,DET,202713,Singler,K. Singler,0,0,0,,0,0,0,0,v,Singler REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,5,0021201217
5,PT11M18.00S,1,1610612765,DET,201155,Stuckey,R. Stuckey,17,19,3,Made,1,0,4,4,v,Stuckey 3' Layup (2 PTS) (Singler 1 AST),Made Shot,Layup Shot,0,2,6,0021201217
6,PT11M02.00S,1,1610612751,BKN,201572,Lopez,B. Lopez,-87,189,21,Missed,1,0,0,0,h,MISS Lopez 21' Jump Shot,Missed Shot,Jump Shot,0,2,7,0021201217
7,PT11M00.00S,1,1610612765,DET,202328,Monroe,G. Monroe,0,0,0,,0,0,0,0,v,Monroe REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,8,0021201217
9,PT10M46.00S,1,1610612765,DET,202688,Knight,B. Knight,-86,145,17,Missed,1,0,0,0,v,MISS Knight 17' Jump Shot,Missed Shot,Jump Shot,0,2,9,0021201217
10,PT10M46.00S,1,1610612751,BKN,2207,Johnson,J. Johnson,0,0,0,,0,0,0,0,h,Johnson REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,10,0021201217
11,PT10M34.00S,1,1610612751,BKN,201572,Lopez,B. Lopez,29,11,3,Missed,1,0,0,0,h,MISS Lopez 3' Hook Shot,Missed Shot,Hook Shot,0,2,11,0021201217
12,PT10M33.00S,1,1610612765,DET,202328,Monroe,G. Monroe,0,0,0,,0,0,0,0,v,Monroe REBOUND (Off:0 Def:2),Rebound,Unknown,0,0,12,0021201217
13,PT10M28.00S,1,1610612765,DET,203083,Drummond,A. Drummond,0,0,0,,0,0,0,0,v,Drummond Traveling Turnover (P1.T1),Turnover,Traveling,0,0,13,0021201217
14,PT10M06.00S,1,1610612751,BKN,2207,Johnson,J. Johnson,56,88,10,Made,1,2,4,6,h,Johnson 10' Floating Jump Shot (2 PTS),Made Shot,Floating Jump shot,0,2,14,0021201217
15,PT09M42.00S,1,1610612765,DET,202328,Monroe,G. Monroe,17,55,6,Missed,1,0,0,0,v,MISS Monroe 6' Hook Shot,Missed Shot,Hook Shot,0,2,15,0021201217
16,PT09M41.00S,1,1610612751,BKN,201572,Lopez,B. Lopez,0,0,0,,0,0,0,0,h,Lopez REBOUND (Off:0 Def:1),Rebound,Unknown,0,0,16,0021201217
