gameId,actionNumber,clock,period,teamId,teamTricode,personId,playerName,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,pointsTotal,location,description,actionType,subType,videoAvailable,shotValue,actionId
0051900111,2,PT12M00.00S,1,0,,0,,,0,0,0,,0,0,0,0, ,Start of 1st Period (2:41 PM EST),period,start,0,0,1
0051900111,17,PT12M00.00S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Jump Ball Nurkic vs. Valanciunas: Tip to Collins,Jump Ball,,1,0,2
0051900111,4,PT11M45.00S,1,1610612763,MEM,201229,Tolliver,A. Tolliver,0,0,0,,0,0,0,0,v,Tolliver S.FOUL (P1.T1) (T.Brown),Foul,Shooting,1,0,3
0051900111,6,PT11M45.00S,1,1610612757,POR,203468,McCollum,C. McCollum,0,0,0,,0,1,0,1,h,McCollum Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,4
0051900111,7,PT11M45.00S,1,1610612757,POR,203468,McCollum,C. McCollum,0,0,0,,0,2,0,2,h,McCollum Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,5
0051900111,8,PT11M32.00S,1,1610612763,MEM,1628415,Brooks,D. Brooks,87,78,12,Missed,1,0,0,0,v,MISS Brooks 12' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,6
0051900111,9,PT11M30.00S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,7
0051900111,10,PT11M22.00S,1,1610612757,POR,203081,Lillard,D. Lillard,22,278,28,Missed,1,0,0,0,h,MISS Lillard 28' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1,3,8
0051900111,11,PT11M20.00S,1,1610612763,MEM,1628415,Brooks,D. Brooks,0,0,0,,0,0,0,0,v,Brooks REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,9
0051900111,12,PT11M12.00S,1,1610612763,MEM,1629630,Morant,J. Morant,-44,105,11,Missed,1,0,0,0,v,MISS Morant 11' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1,2,10
0051900111,13,PT11M10.00S,1,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,0,0,,0,0,0,0,v,Valanciunas REBOUND (Off:1 Def:0),Rebound,Unknown,1,0,11
0051900111,14,PT11M10.00S,1,1610612763,MEM,202685,Valančiūnas,J. Valančiūnas,0,-6,1,Missed,1,0,0,0,v,MISS Valanciunas 1' Tip Layup Shot,Missed Shot,Tip Layup Shot,1,2,12
0051900111,15,PT11M09.00S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic REBOUND (Off:0 Def:2),Rebound,Unknown,1,0,13
0051900111,20,PT10M57.00S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic OFF.Foul (P1) (J.Capers),Foul,Offensive,1,0,14
0051900111,22,PT10M57.00S,1,1610612757,POR,203994,Nurkić,J. Nurkić,0,0,0,,0,0,0,0,h,Nurkic Offensive Foul Turnover (P1.T1),Turnover,Offensive Foul Turnover,1,0,15
0051900111,23,PT10M40.00S,1,1610612763,MEM,1629630,Morant,J. Morant,122,233,26,Missed,1,0,0,0,v,MISS Morant 26' 3PT Step Back Jump Shot,Missed Shot,Step Back Jump shot,1,3,16
0051900111,24,PT10M38.00S,1,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,0,0,0,h,Anthony REBOUND (Off:0 Def:1),Rebound,Unknown,1,0,17
0051900111,25,PT10M30.00S,1,1610612763,MEM,203937,Anderson,K. Anderson,0,0,0,,0,0,0,0,v,Anderson S.FOUL (P1.T2) (P.Fraher),Foul,Shooting,1,0,18
0051900111,27,PT10M30.00S,1,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,3,0,3,h,Anthony Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1,0,19
0051900111,28,PT10M30.00S,1,1610612757,POR,2546,Anthony,C. Anthony,0,0,0,,0,4,0,4,h,Anthony Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1,0,20
0051900111,29,PT10M14.00S,1,1610612763,MEM,1628415,Brooks,D. Brooks,5,2,1,Missed,1,0,0,0,v,MISS Brooks 1' Driving Layup,Missed Shot,Driving Layup Shot,1,2,21
