game_id,game_date,season,team_id_home,team_abbreviation_home,minutes_home,possessions_home,team_id_road,team_abbreviation_road,minutes_road,possessions_road
0020000001,2000-10-31,2000-01,1610612752,NYK,142,52.0,1610612755,PHI,142,52.0
0020000002,2000-10-31,2000-01,1610612751,NJN,228,92.0,1610612739,CLE,228,94.0
0020000003,2000-10-31,2000-01,1610612753,ORL,202,84.0,1610612764,WAS,202,82.0
0020000004,2000-10-31,2000-01,1610612737,ATL,184,70.0,1610612766,CHH,184,70.0
0020000005,2000-10-31,2000-01,1610612761,TOR,152,62.0,1610612765,DET,152,63.0
0020000006,2000-10-31,2000-01,1610612741,CHI,203,78.0,1610612758,SAC,203,79.0
0020000007,2000-10-31,2000-01,1610612742,DAL,211,89.0,1610612749,MIL,211,86.0
0020000008,2000-10-31,2000-01,1610612745,HOU,121,48.0,1610612750,MIN,121,47.0
0020000009,2000-10-31,2000-01,1610612759,SAS,180,69.0,1610612754,IND,180,67.0
0020000010,2000-10-31,2000-01,1610612762,UTA,153,62.0,1610612746,LAC,153,61.0
0020000011,2000-10-31,2000-01,1610612744,GSW,240,107.0,1610612756,PHX,240,107.0
0020000012,2000-10-31,2000-01,1610612757,POR,228,80.0,1610612747,LAL,228,81.0
0020000013,2000-10-31,2000-01,1610612763,VAN,185,75.0,1610612760,SEA,185,74.0
0020000019,2000-11-01,2000-01,1610612747,LAL,207,79.0,1610612762,UTA,207,82.0
0020000018,2000-11-01,2000-01,1610612739,CLE,282,101.0,1610612758,SAC,282,101.0
0020000017,2000-11-01,2000-01,1610612766,CHH,160,68.0,1610612764,WAS,160,68.0
0020000020,2000-11-01,2000-01,1610612760,SEA,131,60.0,1610612743,DEN,131,58.0
0020000015,2000-11-01,2000-01,1610612755,PHI,236,93.0,1610612761,TOR,236,92.0
0020000014,2000-11-01,2000-01,1610612738,BOS,147,62.0,1610612765,DET,147,61.0
0020000016,2000-11-01,2000-01,1610612748,MIA,121,47.0,1610612753,ORL,121,48.0
0020000021,2000-11-02,2000-01,1610612752,NYK,170,65.0,1610612737,ATL,170,64.0
0020000022,2000-11-02,2000-01,1610612742,DAL,234,86.0,1610612754,IND,234,85.0
0020000023,2000-11-02,2000-01,1610612745,HOU,142,55.0,1610612749,MIL,142,54.0
0020000024,2000-11-02,2000-01,1610612759,SAS,218,85.0,1610612750,MIN,218,84.0
0020000025,2000-11-02,2000-01,1610612743,DEN,240,101.0,1610612744,GSW,240,102.0
0020000026,2000-11-02,2000-01,1610612756,PHX,122,50.0,1610612757,POR,122,49.0
0020000027,2000-11-02,2000-01,1610612746,LAC,130,46.0,1610612763,VAN,130,46.0
0020000033,2000-11-03,2000-01,1610612741,CHI,141,56.0,1610612751,NJN,141,58.0
0020000032,2000-11-03,2000-01,1610612765,DET,194,78.0,1610612758,SAC,194,79.0
0020000031,2000-11-03,2000-01,1610612766,CHH,240,91.0,1610612748,MIA,240,90.0
0020000029,2000-11-03,2000-01,1610612764,WAS,240,86.0,1610612752,NYK,240,86.0
0020000028,2000-11-03,2000-01,1610612738,BOS,240,94.0,1610612761,TOR,240,94.0
0020000030,2000-11-03,2000-01,1610612753,ORL,240,107.0,1610612755,PHI,240,106.0
0020000042,2000-11-04,2000-01,1610612742,DAL,240,97.0,1610612762,UTA,240,97.0
0020000047,2000-11-04,2000-01,1610612763,VAN,161,62.0,1610612747,LAL,161,62.0
0020000046,2000-11-04,2000-01,1610612760,SEA,177,74.0,1610612757,POR,177,75.0
0020000045,2000-11-04,2000-01,1610612744,GSW,151,62.0,1610612759,SAS,151,63.0
0020000044,2000-11-04,2000-01,1610612746,LAC,232,87.0,1610612745,HOU,232,86.0
