game_id,game_date,season,team_id_home,team_abbreviation_home,minutes_home,possessions_home,team_id_road,team_abbreviation_road,minutes_road,possessions_road
0021300004,2013-10-30,2013-14,1610612739,CLE,23,11.0,1610612751,BKN,23,10.0
0021300005,2013-10-30,2013-14,1610612755,PHI,21,11.0,1610612748,MIA,21,12.0
0021300006,2013-10-30,2013-14,1610612761,TOR,6,3.0,1610612738,BOS,6,2.0
0021300008,2013-10-30,2013-14,1610612752,NYK,22,10.0,1610612749,MIL,22,10.0
0021300010,2013-10-30,2013-14,1610612750,MIN,44,23.0,1610612753,ORL,44,20.0
0021300011,2013-10-30,2013-14,1610612740,NOP,24,11.0,1610612754,IND,24,12.0
0021300014,2013-10-30,2013-14,1610612762,UTA,23,14.0,1610612760,OKC,23,15.0
0021300015,2013-10-30,2013-14,1610612756,PHX,4,2.0,1610612757,POR,4,2.0
0021300016,2013-10-30,2013-14,1610612758,SAC,19,9.0,1610612743,DEN,19,9.0
0021300018,2013-10-31,2013-14,1610612741,CHI,24,8.0,1610612752,NYK,24,9.0
0021300020,2013-11-01,2013-14,1610612766,CHA,23,9.0,1610612739,CLE,23,9.0
0021300022,2013-11-01,2013-14,1610612764,WAS,7,2.0,1610612755,PHI,7,4.0
0021300023,2013-11-01,2013-14,1610612737,ATL,4,2.0,1610612761,TOR,4,1.0
0021300024,2013-11-01,2013-14,1610612738,BOS,23,10.0,1610612749,MIL,23,9.0
0021300025,2013-11-01,2013-14,1610612745,HOU,2,1.0,1610612742,DAL,2,0.0
0021300026,2013-11-01,2013-14,1610612763,MEM,34,15.0,1610612765,DET,34,15.0
0021300028,2013-11-01,2013-14,1610612751,BKN,4,5.0,1610612748,MIA,4,4.0
0021300030,2013-11-01,2013-14,1610612756,PHX,25,10.0,1610612762,UTA,25,9.0
0021300031,2013-11-01,2013-14,1610612758,SAC,18,8.0,1610612746,LAC,18,7.0
0021300032,2013-11-01,2013-14,1610612747,LAL,19,7.0,1610612759,SAS,19,10.0
0021300034,2013-11-02,2013-14,1610612755,PHI,23,9.0,1610612741,CHI,23,10.0
0021300037,2013-11-02,2013-14,1610612749,MIL,21,8.0,1610612761,TOR,21,8.0
0021300038,2013-11-02,2013-14,1610612762,UTA,8,2.0,1610612745,HOU,8,4.0
0021300039,2013-11-02,2013-14,1610612757,POR,2,3.0,1610612759,SAS,2,1.0
0021300041,2013-11-03,2013-14,1610612765,DET,9,6.0,1610612738,BOS,9,4.0
0021300044,2013-11-03,2013-14,1610612760,OKC,20,12.0,1610612756,PHX,20,10.0
0021300045,2013-11-03,2013-14,1610612752,NYK,3,0.0,1610612750,MIN,3,1.0
0021300046,2013-11-03,2013-14,1610612747,LAL,21,11.0,1610612737,ATL,21,10.0
0021300047,2013-11-04,2013-14,1610612739,CLE,10,5.0,1610612750,MIN,10,4.0
0021300049,2013-11-04,2013-14,1610612763,MEM,23,7.0,1610612738,BOS,23,8.0
0021300053,2013-11-05,2013-14,1610612765,DET,2,0.0,1610612754,IND,2,1.0
0021300054,2013-11-05,2013-14,1610612752,NYK,18,9.0,1610612766,CHA,18,11.0
0021300055,2013-11-05,2013-14,1610612740,NOP,4,1.0,1610612756,PHX,4,4.0
0021300059,2013-11-05,2013-14,1610612758,SAC,14,9.0,1610612737,ATL,14,10.0
0021300060,2013-11-06,2013-14,1610612766,CHA,13,5.0,1610612761,TOR,13,4.0
0021300062,2013-11-06,2013-14,1610612753,ORL,24,11.0,1610612746,LAC,24,10.0
0021300066,2013-11-06,2013-14,1610612749,MIL,9,6.0,1610612739,CLE,9,6.0
0021300068,2013-11-06,2013-14,1610612759,SAS,25,10.0,1610612756,PHX,25,11.0
