game_id,game_date,season,team_id_home,team_abbreviation_home,minutes_home,possessions_home,team_id_road,team_abbreviation_road,minutes_road,possessions_road
0021100001,2011-12-25,2011-12,1610612752,NYK,240,92.0,1610612738,BOS,240,92.0
0021100002,2011-12-25,2011-12,1610612742,DAL,120,54.0,1610612748,MIA,120,54.0
0021100003,2011-12-25,2011-12,1610612747,LAL,225,85.0,1610612741,CHI,225,83.0
0021100004,2011-12-25,2011-12,1610612760,OKC,147,59.0,1610612753,ORL,147,57.0
0021100005,2011-12-25,2011-12,1610612744,GSW,220,85.0,1610612746,LAC,220,86.0
0021100017,2011-12-26,2011-12,1610612744,GSW,131,53.0,1610612741,CHI,131,51.0
0021100016,2011-12-26,2011-12,1610612757,POR,203,83.0,1610612755,PHI,203,83.0
0021100015,2011-12-26,2011-12,1610612758,SAC,204,78.0,1610612747,LAL,204,77.0
0021100014,2011-12-26,2011-12,1610612756,PHX,240,93.0,1610612740,NOH,240,93.0
0021100012,2011-12-26,2011-12,1610612742,DAL,121,48.0,1610612743,DEN,121,48.0
0021100013,2011-12-26,2011-12,1610612759,SAS,163,67.0,1610612763,MEM,163,66.0
0021100010,2011-12-26,2011-12,1610612754,IND,134,54.0,1610612765,DET,134,53.0
0021100009,2011-12-26,2011-12,1610612739,CLE,230,84.0,1610612761,TOR,230,83.0
0021100008,2011-12-26,2011-12,1610612753,ORL,221,80.0,1610612745,HOU,221,79.0
0021100007,2011-12-26,2011-12,1610612766,CHA,235,91.0,1610612749,MIL,235,90.0
0021100006,2011-12-26,2011-12,1610612764,WAS,236,92.0,1610612751,NJN,236,92.0
0021100011,2011-12-26,2011-12,1610612750,MIN,240,100.0,1610612760,OKC,240,99.0
0021100018,2011-12-27,2011-12,1610612751,NJN,122,46.0,1610612737,ATL,122,46.0
0021100019,2011-12-27,2011-12,1610612748,MIA,171,77.0,1610612738,BOS,171,74.0
0021100020,2011-12-27,2011-12,1610612749,MIL,173,77.0,1610612750,MIN,173,73.0
0021100021,2011-12-27,2011-12,1610612757,POR,186,74.0,1610612758,SAC,186,73.0
0021100022,2011-12-27,2011-12,1610612747,LAL,137,49.0,1610612762,UTA,137,49.0
0021100029,2011-12-28,2011-12,1610612759,SAS,161,62.0,1610612746,LAC,161,61.0
0021100032,2011-12-28,2011-12,1610612744,GSW,213,81.0,1610612752,NYK,213,81.0
0021100031,2011-12-28,2011-12,1610612756,PHX,127,49.0,1610612755,PHI,127,49.0
0021100028,2011-12-28,2011-12,1610612740,NOH,186,70.0,1610612738,BOS,186,69.0
0021100030,2011-12-28,2011-12,1610612743,DEN,140,59.0,1610612762,UTA,140,58.0
0021100026,2011-12-28,2011-12,1610612765,DET,190,74.0,1610612739,CLE,190,75.0
0021100025,2011-12-28,2011-12,1610612737,ATL,138,53.0,1610612764,WAS,138,52.0
0021100024,2011-12-28,2011-12,1610612766,CHA,240,97.0,1610612748,MIA,240,96.0
0021100023,2011-12-28,2011-12,1610612761,TOR,199,77.0,1610612754,IND,199,79.0
0021100027,2011-12-28,2011-12,1610612763,MEM,232,90.0,1610612760,OKC,232,90.0
0021100033,2011-12-29,2011-12,1610612753,ORL,182,67.0,1610612751,NJN,182,66.0
0021100034,2011-12-29,2011-12,1610612745,HOU,132,53.0,1610612759,SAS,132,51.0
0021100035,2011-12-29,2011-12,1610612760,OKC,240,98.0,1610612742,DAL,240,99.0
0021100036,2011-12-29,2011-12,1610612758,SAC,193,77.0,1610612741,CHI,193,78.0
0021100037,2011-12-29,2011-12,1610612757,POR,233,99.0,1610612743,DEN,233,100.0
0021100038,2011-12-29,2011-12,1610612747,LAL,177,67.0,1610612752,NYK,177,66.0
0021100049,2011-12-30,2011-12,1610612746,LAC,203,79.0,1610612741,CHI,203,80.0
0021100048,2011-12-30,2011-12,1610612762,UTA,240,96.0,1610612755,PHI,240,95.0
0021100047,2011-12-30,2011-12,1610612742,DAL,218,82.0,1610612761,TOR,218,82.0
