game_id,game_date,season,team_id_home,team_abbreviation_home,minutes_home,possessions_home,team_id_road,team_abbreviation_road,minutes_road,possessions_road
0021800046,2018-10-22,2018-19,1610612757,POR,25,12.0,1610612764,WAS,25,11.0
0021800048,2018-10-22,2018-19,1610612747,LAL,25,12.0,1610612759,SAS,25,12.0
0021800049,2018-10-23,2018-19,1610612765,DET,25,10.0,1610612755,PHI,25,11.0
0021800094,2018-10-29,2018-19,1610612759,SAS,25,10.0,1610612742,DAL,25,11.0
0021800104,2018-10-31,2018-19,1610612751,BKN,25,9.0,1610612765,DET,25,9.0
0021800106,2018-10-31,2018-19,1610612741,CHI,25,9.0,1610612743,DEN,25,9.0
0021800140,2018-11-05,2018-19,1610612765,DET,25,11.0,1610612748,MIA,25,10.0
0021800143,2018-11-05,2018-19,1610612752,NYK,50,21.0,1610612741,CHI,50,20.0
0021800164,2018-11-08,2018-19,1610612756,PHX,25,10.0,1610612738,BOS,25,10.0
0021800168,2018-11-09,2018-19,1610612755,PHI,25,11.0,1610612766,CHA,25,10.0
0021800175,2018-11-10,2018-19,1610612746,LAC,25,10.0,1610612749,MIL,25,9.0
0021800179,2018-11-10,2018-19,1610612763,MEM,25,10.0,1610612755,PHI,25,10.0
0021800198,2018-11-12,2018-19,1610612746,LAC,25,10.0,1610612744,GSW,25,10.0
0021800216,2018-11-16,2018-19,1610612738,BOS,25,10.0,1610612761,TOR,25,9.0
0021800225,2018-11-17,2018-19,1610612766,CHA,25,10.0,1610612755,PHI,25,10.0
0021800266,2018-11-23,2018-19,1610612746,LAC,25,9.0,1610612763,MEM,25,9.0
0021800267,2018-11-23,2018-19,1610612765,DET,25,10.0,1610612745,HOU,25,9.0
0021800296,2018-11-26,2018-19,1610612764,WAS,25,9.0,1610612745,HOU,25,10.0
0021800316,2018-11-29,2018-19,1610612761,TOR,25,10.0,1610612744,GSW,25,10.0
0021800323,2018-11-30,2018-19,1610612751,BKN,50,20.0,1610612763,MEM,50,18.0
0021800330,2018-12-01,2018-19,1610612752,NYK,25,10.0,1610612749,MIL,25,11.0
0021800356,2018-12-05,2018-19,1610612753,ORL,25,10.0,1610612743,DEN,25,11.0
0021800371,2018-12-07,2018-19,1610612751,BKN,25,9.0,1610612761,TOR,25,9.0
0021800399,2018-12-10,2018-19,1610612756,PHX,25,10.0,1610612746,LAC,25,9.0
0021800409,2018-12-12,2018-19,1610612764,WAS,25,11.0,1610612738,BOS,25,10.0
0021800421,2018-12-14,2018-19,1610612766,CHA,25,10.0,1610612752,NYK,25,9.0
0021800463,2018-12-19,2018-19,1610612750,MIN,25,10.0,1610612765,DET,25,10.0
0021800480,2018-12-22,2018-19,1610612764,WAS,75,26.0,1610612756,PHX,75,27.0
0021800495,2018-12-23,2018-19,1610612757,POR,25,11.0,1610612742,DAL,25,11.0
0021800499,2018-12-25,2018-19,1610612738,BOS,25,11.0,1610612755,PHI,25,11.0
0021800503,2018-12-26,2018-19,1610612753,ORL,25,9.0,1610612756,PHX,25,8.0
0021800505,2018-12-26,2018-19,1610612751,BKN,50,18.0,1610612766,CHA,50,18.0
0021800516,2018-12-27,2018-19,1610612744,GSW,25,10.0,1610612757,POR,25,9.0
0021800522,2018-12-28,2018-19,1610612750,MIN,25,10.0,1610612737,ATL,25,9.0
0021800552,2019-01-01,2018-19,1610612758,SAC,25,10.0,1610612757,POR,25,11.0
0021800565,2019-01-03,2018-19,1610612744,GSW,25,10.0,1610612745,HOU,25,9.0
0021800569,2019-01-04,2018-19,1610612741,CHI,25,10.0,1610612754,IND,25,9.0
0021800619,2019-01-10,2018-19,1610612759,SAS,50,19.0,1610612760,OKC,50,20.0
0021800639,2019-01-13,2018-19,1610612764,WAS,50,17.0,1610612761,TOR,50,18.0
0021800657,2019-01-16,2018-19,1610612765,DET,25,9.0,1610612753,ORL,25,10.0
0021800659,2019-01-16,2018-19,1610612745,HOU,25,11.0,1610612751,BKN,25,11.0
0021800670,2019-01-17,2018-19,1610612760,OKC,25,10.0,1610612747,LAL,25,10.0
0021800686,2019-01-19,2018-19,1610612745,HOU,25,10.0,1610612747,LAL,25,11.0
0021800760,2019-01-30,2018-19,1610612750,MIN,25,9.0,1610612763,MEM,25,9.0
0021800769,2019-01-31,2018-19,1610612746,LAC,25,12.0,1610612747,LAL,25,12.0
0021800853,2019-02-13,2018-19,1610612739,CLE,75,31.0,1610612751,BKN,75,28.0
0021800881,2019-02-22,2018-19,1610612760,OKC,50,20.0,1610612762,UTA,50,20.0
0021800912,2019-02-27,2018-19,1610612737,ATL,25,10.0,1610612750,MIN,25,11.0
0021800920,2019-02-27,2018-19,1610612758,SAC,25,11.0,1610612749,MIL,25,11.0
0021800928,2019-03-01,2018-19,1610612737,ATL,100,42.0,1610612741,CHI,100,43.0
0021800949,2019-03-03,2018-19,1610612765,DET,25,10.0,1610612761,TOR,25,10.0
0021800976,2019-03-07,2018-19,1610612757,POR,25,10.0,1610612760,OKC,25,11.0
0021800988,2019-03-09,2018-19,1610612750,MIN,25,11.0,1610612764,WAS,25,11.0
0021801036,2019-03-16,2018-19,1610612740,NOP,25,15.0,1610612756,PHX,25,14.0
0021801056,2019-03-18,2018-19,1610612742,DAL,25,12.0,1610612740,NOP,25,13.0
0021801069,2019-03-20,2018-19,1610612741,CHI,25,11.0,1610612764,WAS,25,10.0
0021801070,2019-03-20,2018-19,1610612763,MEM,25,9.0,1610612745,HOU,25,9.0
0021801072,2019-03-20,2018-19,1610612760,OKC,25,9.0,1610612761,TOR,25,9.0
0021801080,2019-03-22,2018-19,1610612753,ORL,25,9.0,1610612763,MEM,25,8.0
0021801106,2019-03-25,2018-19,1610612757,POR,50,23.0,1610612751,BKN,50,24.0
0021801107,2019-03-26,2018-19,1610612766,CHA,25,13.0,1610612759,SAS,25,12.0
