game_id,game_date,season,team_id_home,team_abbreviation_home,team_name_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_ot_total_home,pts_home,team_id_road,team_abbreviation_road,team_name_road,pts_qtr1_road,pts_qtr2_road,pts_qtr3_road,pts_qtr4_road,pts_ot_total_road,pts_road
0020000007,2000-10-31,2000-01,1610612742,DAL,Mavericks,30,23,28,16,0,97,1610612749,MIL,Bucks,21,25,27,20,0,93
0020000006,2000-10-31,2000-01,1610612741,CHI,Bulls,19,23,22,17,0,81,1610612758,SAC,Kings,25,21,23,31,0,100
0020000010,2000-10-31,2000-01,1610612762,UTA,Jazz,22,28,34,23,0,107,1610612746,LAC,Clippers,19,27,21,27,0,94
0020000011,2000-10-31,2000-01,1610612744,GSW,Warriors,34,15,24,23,0,96,1610612756,PHX,Suns,23,33,23,15,0,94
0020000002,2000-10-31,2000-01,1610612751,NJN,Nets,25,19,18,20,0,82,1610612739,CLE,Cavaliers,18,26,18,24,0,86
0020000005,2000-10-31,2000-01,1610612761,TOR,Raptors,24,22,24,25,0,95,1610612765,DET,Pistons,27,29,29,19,0,104
0020000012,2000-10-31,2000-01,1610612757,POR,Trail Blazers,22,22,23,19,0,86,1610612747,LAL,Lakers,27,26,14,29,0,96
0020000008,2000-10-31,2000-01,1610612745,HOU,Rockets,25,19,23,31,0,98,1610612750,MIN,Timberwolves,35,30,19,22,0,106
0020000009,2000-10-31,2000-01,1610612759,SAS,Spurs,24,27,23,24,0,98,1610612754,IND,Pacers,12,29,19,25,0,85
0020000004,2000-10-31,2000-01,1610612737,ATL,Hawks,13,34,15,20,0,82,1610612766,CHH,Hornets,28,22,23,33,0,106
0020000003,2000-10-31,2000-01,1610612753,ORL,Magic,31,23,17,26,0,97,1610612764,WAS,Wizards,22,27,19,18,0,86
0020000001,2000-10-31,2000-01,1610612752,NYK,Knicks,23,18,13,18,0,72,1610612755,PHI,76ers,26,25,29,21,0,101
0020000013,2000-10-31,2000-01,1610612763,VAN,Grizzlies,34,22,9,29,0,94,1610612760,SEA,SuperSonics,18,18,28,24,0,88
0020000019,2000-11-01,2000-01,1610612747,LAL,Lakers,16,15,25,36,0,92,1610612762,UTA,Jazz,24,20,21,32,0,97
0020000017,2000-11-01,2000-01,1610612766,CHH,Hornets,21,21,14,21,0,77,1610612764,WAS,Wizards,32,19,17,27,0,95
0020000016,2000-11-01,2000-01,1610612748,MIA,Heat,37,22,25,21,0,105,1610612753,ORL,Magic,14,21,18,26,0,79
0020000018,2000-11-01,2000-01,1610612739,CLE,Cavaliers,27,23,19,19,14,102,1610612758,SAC,Kings,23,23,16,26,12,100
0020000014,2000-11-01,2000-01,1610612738,BOS,Celtics,29,27,18,29,0,103,1610612765,DET,Pistons,19,21,22,21,0,83
0020000015,2000-11-01,2000-01,1610612755,PHI,76ers,25,34,16,29,0,104,1610612761,TOR,Raptors,31,22,20,25,0,98
0020000020,2000-11-01,2000-01,1610612760,SEA,SuperSonics,42,26,22,22,0,112,1610612743,DEN,Nuggets,32,18,29,20,0,99
0020000021,2000-11-02,2000-01,1610612752,NYK,Knicks,31,20,16,27,0,94,1610612737,ATL,Hawks,24,17,15,13,0,69
0020000025,2000-11-02,2000-01,1610612743,DEN,Nuggets,24,23,29,25,0,101,1610612744,GSW,Warriors,20,33,21,23,0,97
