game_id,game_date,season,game_type,neutral_site,team_id_home,team_abbreviation_home,team_name_home,team_id_road,team_abbreviation_road,team_name_road,pts_home,pts_road,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,plus_minus_home,fgm_road,fga_road,fg_pct_road,fg3m_road,fg3a_road,fg3_pct_road,ftm_road,fta_road,ft_pct_road,oreb_road,dreb_road,reb_road,ast_road,stl_road,blk_road,tov_road,pf_road,plus_minus_road
0020200001,2002-10-29,2002-03,regular_season,False,1610612753,ORL,Orlando Magic,1610612755,PHI,Philadelphia 76ers,3,0,W,1,1,1.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,1,-3
0020200003,2002-10-29,2002-03,regular_season,False,1610612747,LAL,Los Angeles Lakers,1610612759,SAS,San Antonio Spurs,0,2,L,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,-2,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,2
0020200016,2002-10-30,2002-03,regular_season,False,1610612746,LAC,Los Angeles Clippers,1610612739,CLE,Cleveland Cavaliers,6,10,L,2,8,0.25,0,2,0.0,2,2,1.0,2,2,4,1,0,0,1,4,-4,2,7,0.286,0,0,0.0,6,8,0.75,3,4,7,0,0,0,2,1,4
0020200012,2002-10-30,2002-03,regular_season,False,1610612763,MEM,Memphis Grizzlies,1610612742,DAL,Dallas Mavericks,0,2,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-2,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,2
0020200010,2002-10-30,2002-03,regular_season,False,1610612765,DET,Detroit Pistons,1610612752,NYK,New York Knicks,1,0,W,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-1
0020200017,2002-10-30,2002-03,regular_season,False,1610612744,GSW,Golden State Warriors,1610612759,SAS,San Antonio Spurs,2,0,W,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-2
0020200006,2002-10-30,2002-03,regular_season,False,1610612761,TOR,Toronto Raptors,1610612764,WAS,Washington Wizards,2,1,W,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,0,1,-1
0020200005,2002-10-30,2002-03,regular_season,False,1610612755,PHI,Philadelphia 76ers,1610612749,MIL,Milwaukee Bucks,6,8,L,1,8,0.125,0,1,0.0,4,6,0.667,5,3,8,1,1,0,2,2,-2,2,5,0.4,2,4,0.5,2,3,0.667,0,3,3,2,1,0,1,3,2
0020200004,2002-10-30,2002-03,regular_season,False,1610612738,BOS,Boston Celtics,1610612741,CHI,Chicago Bulls,3,8,L,1,8,0.125,1,5,0.2,0,0,0.0,2,5,7,0,0,0,4,3,-5,3,7,0.429,2,3,0.667,0,4,0.0,1,4,5,3,2,0,2,1,5
0020200008,2002-10-30,2002-03,regular_season,False,1610612751,NJN,New Jersey Nets,1610612737,ATL,Atlanta Hawks,8,0,W,3,4,0.75,0,0,0.0,2,3,0.667,1,0,1,1,1,0,0,0,8,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,2,-8
0020200022,2002-11-01,2002-03,regular_season,False,1610612755,PHI,Philadelphia 76ers,1610612752,NYK,New York Knicks,11,6,W,3,3,1.0,1,1,1.0,4,4,1.0,0,2,2,3,0,0,0,3,5,1,3,0.333,0,2,0.0,4,6,0.667,1,0,1,1,0,0,0,2,-5
0020200024,2002-11-01,2002-03,regular_season,False,1610612750,MIN,Minnesota Timberwolves,1610612753,ORL,Orlando Magic,2,0,W,0,0,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-2
0020200025,2002-11-01,2002-03,regular_season,False,1610612741,CHI,Chicago Bulls,1610612740,NOH,New Orleans Hornets,1,0,W,0,0,0.0,0,0,0.0,1,2,0.5,1,0,1,0,0,0,0,0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,-1
0020200027,2002-11-01,2002-03,regular_season,False,1610612743,DEN,Denver Nuggets,1610612745,HOU,Houston Rockets,0,9,L,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,-9,2,2,1.0,2,2,1.0,3,4,0.75,1,1,2,2,0,0,0,0,9
0020200028,2002-11-01,2002-03,regular_season,False,1610612756,PHX,Phoenix Suns,1610612739,CLE,Cleveland Cavaliers,11,7,W,3,7,0.429,1,1,1.0,4,7,0.571,1,2,3,3,2,0,2,2,4,2,7,0.286,0,2,0.0,3,4,0.75,2,5,7,1,2,0,5,4,-4
0020200036,2002-11-02,2002-03,regular_season,False,1610612740,NOH,New Orleans Hornets,1610612748,MIA,Miami Heat,6,5,W,2,3,0.667,0,0,0.0,2,4,0.5,0,2,2,0,0,1,0,1,1,1,6,0.167,1,5,0.2,2,2,1.0,2,2,4,0,0,1,0,2,-1
0020200032,2002-11-02,2002-03,regular_season,False,1610612737,ATL,Atlanta Hawks,1610612741,CHI,Chicago Bulls,11,1,W,2,3,0.667,0,0,0.0,7,7,1.0,1,0,1,2,0,0,0,1,10,0,2,0.0,0,1,0.0,1,1,1.0,1,0,1,0,0,0,1,5,-10
