game_id,game_date,season,game_type,neutral_site,team_id_home,team_abbreviation_home,team_name_home,team_id_road,team_abbreviation_road,team_name_road,pts_home,pts_road,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,plus_minus_home,fgm_road,fga_road,fg_pct_road,fg3m_road,fg3a_road,fg3_pct_road,ftm_road,fta_road,ft_pct_road,oreb_road,dreb_road,reb_road,ast_road,stl_road,blk_road,tov_road,pf_road,plus_minus_road
0021800046,2018-10-22,2018-19,regular_season,False,1610612757,POR,Portland Trail Blazers,1610612764,WAS,Washington Wizards,13,14,L,6,16,0.375,1,5,0.2,0,0,0.0,4,5,9,1,0,0,1,3,-1,5,11,0.455,3,6,0.5,1,3,0.333,1,4,5,3,0,1,0,2,1
0021800048,2018-10-22,2018-19,regular_season,False,1610612747,LAL,Los Angeles Lakers,1610612759,SAS,San Antonio Spurs,14,15,L,6,13,0.462,1,5,0.2,1,4,0.25,1,5,6,4,0,3,1,4,-1,4,7,0.571,2,2,1.0,5,8,0.625,0,4,4,2,1,1,0,4,1
0021800049,2018-10-23,2018-19,regular_season,False,1610612765,DET,Detroit Pistons,1610612755,PHI,Philadelphia 76ers,13,12,W,4,11,0.364,2,6,0.333,3,3,1.0,1,3,4,2,1,0,0,3,1,4,9,0.444,2,5,0.4,2,2,1.0,0,5,5,3,0,0,2,3,-1
0021800094,2018-10-29,2018-19,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612742,DAL,Dallas Mavericks,11,6,W,4,8,0.5,0,1,0.0,3,4,0.75,0,5,5,1,2,0,0,1,5,2,8,0.25,0,6,0.0,2,2,1.0,0,4,4,2,0,0,2,3,-5
0021800104,2018-10-31,2018-19,regular_season,False,1610612751,BKN,Brooklyn Nets,1610612765,DET,Detroit Pistons,10,9,W,3,5,0.6,3,4,0.75,1,2,0.5,0,4,4,2,0,1,2,4,1,3,7,0.429,1,3,0.333,2,2,1.0,0,3,3,0,0,0,1,2,-1
0021800106,2018-10-31,2018-19,regular_season,False,1610612741,CHI,Chicago Bulls,1610612743,DEN,Denver Nuggets,9,10,L,3,8,0.375,1,3,0.333,2,2,1.0,2,4,6,3,0,1,2,2,-1,4,10,0.4,2,3,0.667,0,0,0.0,2,3,5,3,0,2,1,1,1
0021800140,2018-11-05,2018-19,regular_season,False,1610612765,DET,Detroit Pistons,1610612748,MIA,Miami Heat,10,15,L,4,10,0.4,1,4,0.25,1,2,0.5,2,3,5,2,0,1,1,2,-5,5,11,0.455,1,2,0.5,4,4,1.0,2,3,5,1,1,2,0,1,5
0021800143,2018-11-05,2018-19,regular_season,False,1610612752,NYK,New York Knicks,1610612741,CHI,Chicago Bulls,13,14,L,6,15,0.4,1,5,0.2,0,0,0.0,1,7,8,3,1,0,7,4,-1,6,15,0.4,0,5,0.0,2,4,0.5,2,4,6,1,3,1,6,0,1
0021800164,2018-11-08,2018-19,regular_season,False,1610612756,PHX,Phoenix Suns,1610612738,BOS,Boston Celtics,9,16,L,4,10,0.4,1,5,0.2,0,0,0.0,0,2,2,0,0,0,1,2,-7,6,9,0.667,2,4,0.5,2,2,1.0,1,5,6,3,1,1,0,1,7
0021800168,2018-11-09,2018-19,regular_season,False,1610612755,PHI,Philadelphia 76ers,1610612766,CHA,Charlotte Hornets,14,13,W,5,8,0.625,0,1,0.0,4,6,0.667,1,5,6,3,0,1,1,2,1,5,12,0.417,1,5,0.2,2,3,0.667,3,2,5,3,1,0,0,6,-1
