game_id,game_date,season,game_type,neutral_site,team_id_home,team_abbreviation_home,team_name_home,team_id_road,team_abbreviation_road,team_name_road,pts_home,pts_road,wl_home,fgm_home,fga_home,fg_pct_home,fg3m_home,fg3a_home,fg3_pct_home,ftm_home,fta_home,ft_pct_home,oreb_home,dreb_home,reb_home,ast_home,stl_home,blk_home,tov_home,pf_home,plus_minus_home,fgm_road,fga_road,fg_pct_road,fg3m_road,fg3a_road,fg3_pct_road,ftm_road,fta_road,ft_pct_road,oreb_road,dreb_road,reb_road,ast_road,stl_road,blk_road,tov_road,pf_road,plus_minus_road
0021400002,2014-10-28,2014-15,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612742,DAL,Dallas Mavericks,8,9,L,3,6,0.5,2,3,0.667,0,1,0.0,0,3,3,3,0,1,3,1,-1,3,7,0.429,1,4,0.25,2,2,1.0,0,4,4,2,3,0,1,2,1
0021400004,2014-10-29,2014-15,regular_season,False,1610612766,CHA,Charlotte Hornets,1610612749,MIL,Milwaukee Bucks,14,11,W,6,12,0.5,1,3,0.333,1,2,0.5,1,5,6,2,1,2,3,4,3,2,8,0.25,0,1,0.0,7,8,0.875,0,3,3,1,0,2,2,1,-3
0021400005,2014-10-29,2014-15,regular_season,False,1610612754,IND,Indiana Pacers,1610612755,PHI,Philadelphia 76ers,5,2,W,1,2,0.5,1,2,0.5,2,4,0.5,0,1,1,1,0,0,0,0,3,1,2,0.5,0,0,0.0,0,0,0.0,0,2,2,1,0,0,1,1,-3
0021400007,2014-10-29,2014-15,regular_season,False,1610612748,MIA,Miami Heat,1610612764,WAS,Washington Wizards,13,3,W,5,5,1.0,2,2,1.0,1,1,1.0,0,2,2,2,0,0,0,1,10,0,1,0.0,0,0,0.0,3,3,1.0,0,0,0,0,0,0,0,1,-10
0021400008,2014-10-29,2014-15,regular_season,False,1610612761,TOR,Toronto Raptors,1610612737,ATL,Atlanta Hawks,6,0,W,1,2,0.5,0,1,0.0,4,6,0.667,2,0,2,1,0,0,0,0,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,-6
0021400009,2014-10-29,2014-15,regular_season,False,1610612763,MEM,Memphis Grizzlies,1610612750,MIN,Minnesota Timberwolves,13,9,W,3,7,0.429,0,3,0.0,7,8,0.875,3,1,4,1,1,0,1,2,4,2,6,0.333,1,2,0.5,4,4,1.0,1,1,2,1,1,0,2,6,-4
0021400011,2014-10-29,2014-15,regular_season,False,1610612743,DEN,Denver Nuggets,1610612765,DET,Detroit Pistons,5,2,W,1,6,0.167,0,1,0.0,3,4,0.75,1,4,5,0,0,0,1,0,3,1,7,0.143,0,2,0.0,0,0,0.0,2,2,4,0,0,0,1,2,-3
0021400018,2014-10-30,2014-15,regular_season,False,1610612739,CLE,Cleveland Cavaliers,1610612752,NYK,New York Knicks,4,8,L,2,4,0.5,0,2,0.0,0,0,0.0,0,0,0,1,0,0,0,2,-4,3,4,0.75,0,0,0.0,2,3,0.667,0,2,2,2,0,0,1,0,4
0021400020,2014-10-30,2014-15,regular_season,False,1610612746,LAC,Los Angeles Clippers,1610612760,OKC,Oklahoma City Thunder,7,5,W,1,7,0.143,1,4,0.25,4,6,0.667,1,3,4,1,2,0,0,2,2,1,5,0.2,1,2,0.5,2,2,1.0,0,6,6,0,0,0,2,5,-2
0021400016,2014-10-30,2014-15,regular_season,False,1610612753,ORL,Orlando Magic,1610612764,WAS,Washington Wizards,5,8,L,0,3,0.0,0,0,0.0,5,5,1.0,0,2,2,0,0,0,1,1,-3,3,7,0.429,0,1,0.0,2,2,1.0,1,3,4,0,1,0,0,2,3
0021400017,2014-10-30,2014-15,regular_season,False,1610612750,MIN,Minnesota Timberwolves,1610612765,DET,Detroit Pistons,9,8,W,3,7,0.429,1,2,0.5,2,2,1.0,0,4,4,2,0,0,0,4,1,2,8,0.25,1,4,0.25,3,4,0.75,2,4,6,1,0,1,1,2,-1
0021400022,2014-10-31,2014-15,regular_season,False,1610612741,CHI,Chicago Bulls,1610612739,CLE,Cleveland Cavaliers,18,23,L,5,11,0.455,3,5,0.6,5,5,1.0,1,7,8,4,1,0,7,14,-5,4,18,0.222,0,3,0.0,15,16,0.938,5,5,10,2,1,1,3,3,5
0021400024,2014-10-31,2014-15,regular_season,False,1610612756,PHX,Phoenix Suns,1610612759,SAS,San Antonio Spurs,10,2,W,3,8,0.375,0,1,0.0,4,4,1.0,2,7,9,2,0,1,1,2,8,0,7,0.0,0,3,0.0,2,5,0.4,0,3,3,0,0,0,1,2,-8
0021400026,2014-10-31,2014-15,regular_season,False,1610612747,LAL,Los Angeles Lakers,1610612746,LAC,Los Angeles Clippers,5,14,L,2,8,0.25,1,3,0.333,0,0,0.0,0,2,2,1,0,1,1,5,-9,2,5,0.4,1,2,0.5,9,10,0.9,1,6,7,2,1,1,1,3,9
0021400027,2014-11-01,2014-15,regular_season,False,1610612740,NOP,New Orleans Pelicans,1610612742,DAL,Dallas Mavericks,3,6,L,0,3,0.0,0,1,0.0,3,5,0.6,1,3,4,0,0,0,1,1,-3,3,6,0.5,0,2,0.0,0,0,0.0,0,3,3,3,0,0,0,2,3
0021400028,2014-11-01,2014-15,regular_season,False,1610612766,CHA,Charlotte Hornets,1610612763,MEM,Memphis Grizzlies,10,11,L,3,5,0.6,1,2,0.5,3,5,0.6,0,2,2,1,1,0,1,1,-1,5,7,0.714,0,0,0.0,1,1,1.0,1,2,3,4,0,0,1,3,1
0021400029,2014-11-01,2014-15,regular_season,False,1610612753,ORL,Orlando Magic,1610612761,TOR,Toronto Raptors,0,5,L,0,1,0.0,0,0,0.0,0,1,0.0,0,1,1,0,0,1,0,2,-5,1,2,0.5,1,1,1.0,2,2,1.0,1,2,3,1,0,0,0,0,5
0021400032,2014-11-01,2014-15,regular_season,False,1610612737,ATL,Atlanta Hawks,1610612754,IND,Indiana Pacers,5,2,W,2,2,1.0,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,0,3,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,0,0,0,0,1,-3
0021400035,2014-11-01,2014-15,regular_season,False,1610612750,MIN,Minnesota Timberwolves,1610612741,CHI,Chicago Bulls,15,12,W,5,11,0.455,2,3,0.667,3,5,0.6,3,3,6,5,0,2,1,7,3,1,6,0.167,0,2,0.0,10,11,0.909,0,4,4,0,0,2,2,3,-3
0021400036,2014-11-01,2014-15,regular_season,False,1610612760,OKC,Oklahoma City Thunder,1610612743,DEN,Denver Nuggets,6,2,W,2,5,0.4,2,4,0.5,0,0,0.0,0,0,0,2,0,0,0,0,4,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,0,0,1,1,0,-4
0021400042,2014-11-02,2014-15,regular_season,False,1610612757,POR,Portland Trail Blazers,1610612744,GSW,Golden State Warriors,8,14,L,4,10,0.4,0,2,0.0,0,0,0.0,1,3,4,1,2,0,3,3,-6,4,7,0.571,1,2,0.5,5,6,0.833,1,4,5,2,2,0,2,1,6
0021400041,2014-11-02,2014-15,regular_season,False,1610612752,NYK,New York Knicks,1610612766,CHA,Charlotte Hornets,9,5,W,3,7,0.429,1,1,1.0,2,4,0.5,0,3,3,1,1,0,1,1,4,2,5,0.4,0,0,0.0,0,0,0.0,0,5,5,1,0,0,4,2,-4
0021400039,2014-11-02,2014-15,regular_season,False,1610612746,LAC,Los Angeles Clippers,1610612758,SAC,Sacramento Kings,8,13,L,4,12,0.333,0,7,0.0,0,0,0.0,3,2,5,4,1,2,1,3,-5,3,8,0.375,0,1,0.0,7,7,1.0,2,6,8,1,0,1,3,0,5
0021400040,2014-11-02,2014-15,regular_season,False,1610612748,MIA,Miami Heat,1610612761,TOR,Toronto Raptors,5,0,W,1,1,1.0,1,1,1.0,2,4,0.5,0,2,2,1,0,1,0,0,5,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,2,-5
0021400046,2014-11-03,2014-15,regular_season,False,1610612742,DAL,Dallas Mavericks,1610612738,BOS,Boston Celtics,11,4,W,3,4,0.75,1,1,1.0,4,4,1.0,0,2,2,2,0,1,1,1,7,1,4,0.25,0,2,0.0,2,3,0.667,1,1,2,1,1,0,1,2,-7
0021400047,2014-11-03,2014-15,regular_season,False,1610612743,DEN,Denver Nuggets,1610612758,SAC,Sacramento Kings,13,18,L,4,13,0.308,0,5,0.0,5,5,1.0,4,2,6,2,0,1,1,7,-5,4,7,0.571,0,2,0.0,10,11,0.909,1,3,4,2,1,0,1,3,5
0021400048,2014-11-03,2014-15,regular_season,False,1610612746,LAC,Los Angeles Clippers,1610612762,UTA,Utah Jazz,5,1,W,2,2,1.0,0,0,0.0,1,2,0.5,0,0,0,2,0,0,0,1,4,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0,0,0,0,1,1,-4
0021400049,2014-11-04,2014-15,regular_season,False,1610612754,IND,Indiana Pacers,1610612749,MIL,Milwaukee Bucks,0,3,L,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-3,1,1,1.0,0,0,0.0,1,1,1.0,0,1,1,0,0,0,0,0,3
0021400053,2014-11-04,2014-15,regular_season,False,1610612741,CHI,Chicago Bulls,1610612753,ORL,Orlando Magic,3,2,W,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,1,0,1,0,0,1,1,2,0.5,0,0,0.0,0,0,0.0,1,2,3,0,0,0,1,0,-1
0021400056,2014-11-04,2014-15,regular_season,False,1610612747,LAL,Los Angeles Lakers,1610612756,PHX,Phoenix Suns,12,15,L,3,7,0.429,1,1,1.0,5,5,1.0,1,3,4,0,0,0,1,5,-3,4,6,0.667,1,2,0.5,6,9,0.667,0,3,3,2,0,0,1,3,3
0021400059,2014-11-05,2014-15,regular_season,False,1610612738,BOS,Boston Celtics,1610612761,TOR,Toronto Raptors,7,10,L,2,3,0.667,1,2,0.5,2,2,1.0,1,2,3,1,0,0,1,1,-3,4,6,0.667,1,2,0.5,1,1,1.0,0,0,0,2,1,0,0,1,3
0021400057,2014-11-05,2014-15,regular_season,False,1610612766,CHA,Charlotte Hornets,1610612748,MIA,Miami Heat,6,2,W,1,6,0.167,1,2,0.5,3,3,1.0,1,2,3,0,0,0,0,0,4,1,3,0.333,0,0,0.0,0,0,0.0,0,3,3,1,0,1,1,2,-4
0021400058,2014-11-05,2014-15,regular_season,False,1610612755,PHI,Philadelphia 76ers,1610612753,ORL,Orlando Magic,8,6,W,3,9,0.333,0,4,0.0,2,2,1.0,1,5,6,2,1,2,6,1,2,4,13,0.308,0,2,0.0,0,0,0.0,1,1,2,2,4,0,3,2,-2
0021400060,2014-11-05,2014-15,regular_season,False,1610612751,BKN,Brooklyn Nets,1610612750,MIN,Minnesota Timberwolves,7,15,L,3,10,0.3,0,1,0.0,1,2,0.5,2,2,4,1,0,0,2,3,-8,6,8,0.75,1,2,0.5,2,2,1.0,0,5,5,4,1,0,0,2,8
0021400061,2014-11-05,2014-15,regular_season,False,1610612765,DET,Detroit Pistons,1610612752,NYK,New York Knicks,7,2,W,1,3,0.333,0,0,0.0,5,10,0.5,1,0,1,1,1,0,1,3,5,0,2,0.0,0,1,0.0,2,4,0.5,0,3,3,0,0,1,1,6,-5
0021400062,2014-11-05,2014-15,regular_season,False,1610612749,MIL,Milwaukee Bucks,1610612741,CHI,Chicago Bulls,2,7,L,1,3,0.333,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,1,-5,3,4,0.75,1,2,0.5,0,0,0.0,0,2,2,2,0,0,1,1,5
0021400063,2014-11-05,2014-15,regular_season,False,1610612764,WAS,Washington Wizards,1610612754,IND,Indiana Pacers,19,20,L,6,14,0.429,0,3,0.0,7,9,0.778,0,5,5,4,3,0,1,3,-1,7,14,0.5,1,5,0.2,5,6,0.833,2,8,10,4,1,1,4,7,1
0021400064,2014-11-05,2014-15,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612737,ATL,Atlanta Hawks,9,11,L,1,5,0.2,0,1,0.0,7,11,0.636,2,5,7,1,1,2,3,2,-2,5,11,0.455,0,2,0.0,1,1,1.0,1,4,5,2,3,0,2,5,2
0021400066,2014-11-05,2014-15,regular_season,False,1610612762,UTA,Utah Jazz,1610612739,CLE,Cleveland Cavaliers,16,9,W,4,7,0.571,1,2,0.5,7,7,1.0,2,5,7,2,0,1,2,2,7,2,7,0.286,1,3,0.333,4,5,0.8,0,0,0,1,1,0,0,4,-7
0021400078,2014-11-07,2014-15,regular_season,False,1610612760,OKC,Oklahoma City Thunder,1610612763,MEM,Memphis Grizzlies,13,10,W,5,10,0.5,3,5,0.6,0,3,0.0,2,4,6,2,0,0,3,2,3,3,9,0.333,3,5,0.6,1,2,0.5,0,3,3,2,1,0,0,2,-3
0021400079,2014-11-07,2014-15,regular_season,False,1610612756,PHX,Phoenix Suns,1610612758,SAC,Sacramento Kings,16,20,L,6,22,0.273,1,5,0.2,3,5,0.6,3,8,11,2,0,1,4,9,-4,6,20,0.3,1,6,0.167,7,9,0.778,3,13,16,2,3,0,3,5,4
0021400076,2014-11-07,2014-15,regular_season,False,1610612765,DET,Detroit Pistons,1610612749,MIL,Milwaukee Bucks,8,9,L,3,6,0.5,1,2,0.5,1,2,0.5,1,0,1,1,1,0,1,1,-1,3,5,0.6,0,0,0.0,3,3,1.0,2,2,4,1,1,1,2,2,1
0021400071,2014-11-07,2014-15,regular_season,False,1610612766,CHA,Charlotte Hornets,1610612737,ATL,Atlanta Hawks,32,26,W,10,20,0.5,1,4,0.25,11,15,0.733,4,10,14,5,0,2,4,6,6,9,24,0.375,4,12,0.333,4,5,0.8,2,7,9,9,2,1,4,12,-6
0021400073,2014-11-07,2014-15,regular_season,False,1610612755,PHI,Philadelphia 76ers,1610612741,CHI,Chicago Bulls,3,2,W,1,2,0.5,1,2,0.5,0,0,0.0,0,1,1,1,0,0,0,2,1,0,0,0.0,0,0,0.0,2,4,0.5,0,0,0,0,0,0,0,0,-1
0021400072,2014-11-07,2014-15,regular_season,False,1610612753,ORL,Orlando Magic,1610612750,MIN,Minnesota Timberwolves,19,12,W,6,16,0.375,2,3,0.667,5,5,1.0,1,8,9,2,2,2,0,7,7,3,14,0.214,0,2,0.0,6,7,0.857,3,7,10,2,0,3,2,3,-7
0021400074,2014-11-07,2014-15,regular_season,False,1610612738,BOS,Boston Celtics,1610612754,IND,Indiana Pacers,9,6,W,2,8,0.25,1,3,0.333,4,4,1.0,2,2,4,2,1,0,2,3,3,1,4,0.25,0,1,0.0,4,4,1.0,1,2,3,0,1,1,1,2,-3
0021400082,2014-11-08,2014-15,regular_season,False,1610612746,LAC,Los Angeles Clippers,1610612757,POR,Portland Trail Blazers,6,4,W,1,4,0.25,0,0,0.0,4,6,0.667,1,3,4,0,0,0,0,0,2,2,5,0.4,0,2,0.0,0,0,0.0,0,3,3,1,0,0,0,3,-2
0021400083,2014-11-08,2014-15,regular_season,False,1610612754,IND,Indiana Pacers,1610612764,WAS,Washington Wizards,0,3,L,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0,0,0,1,1,-3,1,3,0.333,0,1,0.0,1,1,1.0,0,2,2,1,1,0,0,0,3
0021400084,2014-11-08,2014-15,regular_season,False,1610612737,ATL,Atlanta Hawks,1610612752,NYK,New York Knicks,6,0,W,2,2,1.0,1,1,1.0,1,1,1.0,0,1,1,1,0,0,1,0,6,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,-6
0021400085,2014-11-08,2014-15,regular_season,False,1610612748,MIA,Miami Heat,1610612750,MIN,Minnesota Timberwolves,6,2,W,2,4,0.5,0,2,0.0,2,2,1.0,1,1,2,0,0,0,0,0,4,0,2,0.0,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,1,-4
0021400086,2014-11-08,2014-15,regular_season,False,1610612741,CHI,Chicago Bulls,1610612738,BOS,Boston Celtics,5,7,L,1,2,0.5,0,0,0.0,3,3,1.0,0,1,1,0,0,0,0,4,-2,0,2,0.0,0,0,0.0,7,8,0.875,1,1,2,0,0,0,0,2,2
0021400088,2014-11-08,2014-15,regular_season,False,1610612749,MIL,Milwaukee Bucks,1610612763,MEM,Memphis Grizzlies,10,7,W,4,7,0.571,1,1,1.0,1,2,0.5,0,4,4,1,0,0,1,3,3,3,9,0.333,0,1,0.0,1,2,0.5,1,3,4,1,1,1,0,3,-3
0021400089,2014-11-08,2014-15,regular_season,False,1610612759,SAS,San Antonio Spurs,1610612740,NOP,New Orleans Pelicans,5,6,L,1,3,0.333,0,1,0.0,3,3,1.0,2,1,3,1,0,1,1,1,-1,3,5,0.6,0,1,0.0,0,0,0.0,0,0,0,2,0,1,1,2,1
0021400090,2014-11-09,2014-15,regular_season,False,1610612751,BKN,Brooklyn Nets,1610612753,ORL,Orlando Magic,4,0,W,1,2,0.5,0,0,0.0,2,2,1.0,1,2,3,0,0,0,0,0,4,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-4
0021400091,2014-11-09,2014-15,regular_season,False,1610612765,DET,Detroit Pistons,1610612762,UTA,Utah Jazz,5,11,L,2,9,0.222,0,3,0.0,1,4,0.25,1,1,2,2,3,0,0,1,-6,3,5,0.6,2,3,0.667,3,4,0.75,1,6,7,2,0,0,4,2,6
0021400092,2014-11-09,2014-15,regular_season,False,1610612760,OKC,Oklahoma City Thunder,1610612758,SAC,Sacramento Kings,13,3,W,3,6,0.5,0,0,0.0,7,7,1.0,0,3,3,1,0,1,0,2,10,1,3,0.333,0,1,0.0,1,2,0.5,0,2,2,1,0,0,0,6,-10
0021400095,2014-11-09,2014-15,regular_season,False,1610612756,PHX,Phoenix Suns,1610612744,GSW,Golden State Warriors,3,0,W,1,2,0.5,1,2,0.5,0,0,0.0,1,0,1,0,0,0,0,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-3
0021400102,2014-11-10,2014-15,regular_season,False,1610612746,LAC,Los Angeles Clippers,1610612759,SAS,San Antonio Spurs,3,12,L,0,6,0.0,0,3,0.0,3,3,1.0,2,3,5,0,1,0,4,3,-9,4,8,0.5,0,0,0.0,4,7,0.571,2,4,6,4,3,0,1,2,9
0021400100,2014-11-10,2014-15,regular_season,False,1610612752,NYK,New York Knicks,1610612737,ATL,Atlanta Hawks,3,15,L,1,2,0.5,0,1,0.0,1,2,0.5,1,2,3,0,0,0,2,6,-12,4,8,0.5,0,3,0.0,7,7,1.0,2,2,4,1,2,0,0,1,12
0021400101,2014-11-10,2014-15,regular_season,False,1610612741,CHI,Chicago Bulls,1610612765,DET,Detroit Pistons,8,2,W,3,5,0.6,1,2,0.5,1,1,1.0,0,1,1,3,0,0,0,0,6,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,-6
0021400098,2014-11-10,2014-15,regular_season,False,1610612739,CLE,Cleveland Cavaliers,1610612740,NOP,New Orleans Pelicans,5,2,W,2,3,0.667,1,1,1.0,0,0,0.0,0,1,1,1,0,0,0,0,3,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,1,0,0,0,0,-3
0021400099,2014-11-10,2014-15,regular_season,False,1610612754,IND,Indiana Pacers,1610612762,UTA,Utah Jazz,1,0,W,0,5,0.0,0,2,0.0,1,1,1.0,1,3,4,0,0,1,0,0,1,0,3,0.0,0,2,0.0,0,0,0.0,0,4,4,0,0,0,1,1,-1
0021400103,2014-11-11,2014-15,regular_season,False,1610612761,TOR,Toronto Raptors,1610612753,ORL,Orlando Magic,12,8,W,2,3,0.667,1,1,1.0,7,8,0.875,0,4,4,2,1,1,2,1,4,3,9,0.333,2,5,0.4,0,0,0.0,0,1,1,3,1,0,3,5,-4
0021400104,2014-11-11,2014-15,regular_season,False,1610612763,MEM,Memphis Grizzlies,1610612747,LAL,Los Angeles Lakers,4,2,W,1,2,0.5,0,0,0.0,2,2,1.0,1,3,4,0,0,0,2,0,2,1,4,0.25,0,2,0.0,0,0,0.0,0,0,0,0,1,1,0,1,-2
0021400105,2014-11-11,2014-15,regular_season,False,1610612749,MIL,Milwaukee Bucks,1610612760,OKC,Oklahoma City Thunder,2,1,W,0,0,0.0,0,0,0.0,2,3,0.667,0,1,1,0,0,0,0,0,1,0,1,0.0,0,1,0.0,1,1,1.0,0,0,0,0,0,0,0,2,-1
0021400107,2014-11-11,2014-15,regular_season,False,1610612757,POR,Portland Trail Blazers,1610612766,CHA,Charlotte Hornets,12,8,W,5,12,0.417,1,4,0.25,1,2,0.5,5,3,8,1,0,0,0,2,4,1,4,0.25,0,2,0.0,6,6,1.0,0,3,3,1,0,0,1,1,-4
0021400116,2014-11-12,2014-15,regular_season,False,1610612756,PHX,Phoenix Suns,1610612751,BKN,Brooklyn Nets,12,5,W,3,4,0.75,0,0,0.0,6,6,1.0,0,4,4,2,1,0,1,2,7,1,4,0.25,0,1,0.0,3,4,0.75,0,1,1,0,1,0,1,3,-7
0021400112,2014-11-12,2014-15,regular_season,False,1610612748,MIA,Miami Heat,1610612754,IND,Indiana Pacers,5,9,L,2,6,0.333,1,2,0.5,0,0,0.0,0,3,3,1,1,1,3,3,-4,2,6,0.333,1,1,1.0,4,4,1.0,0,5,5,0,2,1,3,1,4
0021400113,2014-11-12,2014-15,regular_season,False,1610612752,NYK,New York Knicks,1610612753,ORL,Orlando Magic,10,10,L,4,9,0.444,1,4,0.25,1,2,0.5,1,3,4,1,0,1,1,4,0,3,8,0.375,0,0,0.0,4,6,0.667,1,4,5,0,0,0,1,1,0
0021400109,2014-11-12,2014-15,regular_season,False,1610612764,WAS,Washington Wizards,1610612765,DET,Detroit Pistons,10,7,W,3,7,0.429,0,0,0.0,4,6,0.667,2,6,8,2,0,0,2,1,3,3,9,0.333,0,4,0.0,1,2,0.5,1,3,4,3,2,0,1,4,-3
0021400110,2014-11-12,2014-15,regular_season,False,1610612737,ATL,Atlanta Hawks,1610612762,UTA,Utah Jazz,7,0,W,2,3,0.667,1,1,1.0,2,2,1.0,0,5,5,0,0,1,1,1,7,0,5,0.0,0,3,0.0,0,0,0.0,0,1,1,0,0,0,1,2,-7
0021400118,2014-11-13,2014-15,regular_season,False,1610612763,MEM,Memphis Grizzlies,1610612758,SAC,Sacramento Kings,11,6,W,5,8,0.625,1,1,1.0,0,0,0.0,0,5,5,4,1,0,1,3,5,2,8,0.25,0,2,0.0,2,4,0.5,2,3,5,0,0,1,1,0,-5
0021400119,2014-11-13,2014-15,regular_season,False,1610612761,TOR,Toronto Raptors,1610612741,CHI,Chicago Bulls,0,4,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,-4,1,1,1.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,0,4
